Tickers,Date,Open,High,Low,Close,Adj Close,Volume
QQQ,2018-12-04,171.42999267578125,171.91000366210938,165.52000427246094,165.72000122070312,159.20782470703125,70594700
QQQ,2018-12-06,162.3800048828125,166.91000366210938,161.77000427246094,166.88999938964844,160.3318328857422,71715500
QQQ,2018-12-07,166.16000366210938,167.1199951171875,160.86000061035156,161.3800048828125,155.0383758544922,80432200
QQQ,2018-12-10,161.0800018310547,163.77999877929688,159.41000366210938,163.07000732421875,156.66200256347656,73960800
QQQ,2018-12-11,165.72999572753906,165.77000427246094,162.22999572753906,163.61000061035156,157.18072509765625,59058300
QQQ,2018-12-12,166.0,167.60000610351562,164.9600067138672,165.0500030517578,158.56417846679688,53780000
QQQ,2018-12-13,166.1300048828125,166.82000732421875,164.02999877929688,165.10000610351562,158.61219787597656,46378500
QQQ,2018-12-14,163.2100067138672,163.80999755859375,160.6999969482422,161.0800018310547,154.75015258789062,56547400
QQQ,2018-12-17,160.38999938964844,161.6699981689453,156.1699981689453,157.42999267578125,151.2436065673828,74834100
QQQ,2018-12-18,158.64999389648438,159.9499969482422,157.0399932861328,158.4199981689453,152.19468688964844,63642100
QQQ,2018-12-19,158.17999267578125,160.72000122070312,153.33999633789062,154.52999877929688,148.4575653076172,81856500
QQQ,2018-12-20,154.14999389648438,155.8699951171875,150.38999938964844,152.2899932861328,146.30557250976562,99002100
QQQ,2018-12-21,153.0500030517578,154.08999633789062,146.72000122070312,147.57000732421875,141.7710418701172,141129400
QQQ,2018-12-24,146.0800018310547,147.97999572753906,143.4600067138672,143.5,138.2554168701172,56163300
QQQ,2018-12-26,145.0800018310547,152.5399932861328,144.08999633789062,152.4600067138672,146.887939453125,98982100
QQQ,2018-12-27,150.3699951171875,153.17999267578125,147.0800018310547,153.0500030517578,147.4563751220703,85824300
QQQ,2018-12-28,154.14999389648438,155.58999633789062,151.72000122070312,152.97000122070312,147.3793182373047,77856600
QQQ,2018-12-31,154.47000122070312,154.97999572753906,152.7100067138672,154.25999450683594,148.62216186523438,53015300
QQQ,2019-01-02,150.99000549316406,155.75,150.8800048828125,154.8800048828125,149.219482421875,58576700
QQQ,2019-01-03,152.60000610351562,153.25999450683594,149.49000549316406,149.82000732421875,144.344482421875,74820200
QQQ,2019-01-04,152.33999633789062,157.0,151.74000549316406,156.22999572753906,150.52015686035156,74709300
QQQ,2019-01-07,156.6199951171875,158.86000061035156,156.11000061035156,158.08999633789062,152.3121795654297,52059300
QQQ,2019-01-08,159.5399932861328,160.11000061035156,157.1999969482422,159.52000427246094,153.68991088867188,49388700
QQQ,2019-01-09,160.13999938964844,161.52000427246094,159.47000122070312,160.82000732421875,154.9424285888672,46491700
QQQ,2019-01-10,159.60000610351562,161.3699951171875,158.6999969482422,161.27999877929688,155.38558959960938,38943400
QQQ,2019-01-11,160.3300018310547,160.86000061035156,159.7899932861328,160.69000244140625,154.81715393066406,30176600
QQQ,2019-01-14,159.3300018310547,159.9600067138672,158.58999633789062,159.27000427246094,153.44908142089844,30710200
QQQ,2019-01-15,160.0,162.60000610351562,159.91000366210938,162.3800048828125,156.4453887939453,40874200
QQQ,2019-01-16,162.64999389648438,163.77999877929688,162.2899932861328,162.35000610351562,156.41647338867188,33812200
QQQ,2019-01-17,161.8300018310547,164.36000061035156,161.57000732421875,163.6300048828125,157.6497039794922,39329000
QQQ,2019-01-18,164.77999877929688,166.02000427246094,163.82000732421875,165.25,159.21051025390625,57183200
QQQ,2019-01-22,164.05999755859375,164.13999938964844,160.75999450683594,161.94000244140625,156.02145385742188,56711700
QQQ,2019-01-23,162.77000427246094,163.50999450683594,160.32000732421875,162.14999389648438,156.22377014160156,38106100
QQQ,2019-01-24,162.67999267578125,163.44000244140625,162.05999755859375,163.1999969482422,157.23541259765625,32417800
QQQ,2019-01-25,164.50999450683594,165.64999389648438,163.9499969482422,165.14999389648438,159.1141815185547,36515900
