review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,6 Jan 2022,-,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW57504832.htm,Graduate trainee engineer,"Current intern, more than 1 year",,,Bengaluru,"Good exposure
Gain knowledge
Know more about defence sector
Good environment
Build future career",Can't select your department which we wish to work,Show more
3.0,18 Mar 2011,It was good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW857658.htm,Anonymous employee,Former employee,,,Bengaluru,Its a Govt. co. and has good work culture,less is less compared to others,Show more
2.0,13 Dec 2013,My expeirinces,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW3419773.htm,Deputy engineer,"Current employee, more than 1 year",,,Bengaluru,"good locaton, not a typical public sector","lot of physical work, less salary",Show more
3.0,4 Oct 2016,Graduate Apprentice,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW12175531.htm,Anonymous intern,"Current intern, less than 1 year",,,Bengaluru,"- Good place to gain  practical knowledge
- Good environment
- No pressure
- subsidised food rates","- Less money
- internal politics",Show more
5.0,12 Oct 2017,Great place to work at,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW17308683.htm,Anonymous intern,Former intern,Amazing projects which provide exposure broadly in different areas,Short industrial training or internship period,,,,
4.0,26 Dec 2017,dgm,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW18474350.htm,Anonymous employee,Former employee,"Big organization, good exposure, one of the best in the field",not enough diversified in business / product and sevices,Hyderābād,,,
2.0,31 Jan 2018,Design engineering experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW19014466.htm,Anonymous employee,Former employee,The brand of ministry of defence undertaking helps,"Not a good place for engineers, It makes young new joinees lazy",,,,
3.0,22 Jul 2018,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW21598612.htm,Software test engineer,"Former employee, less than 1 year",,,Bengaluru,One who like in government sectors this company worth it,"Security check each and every day is quite, hurts",Show more
4.0,17 Aug 2018,Great company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW22017062.htm,Anonymous intern,Former intern,Work life balance like no other. It is actually a 9 to 5 job.,None I can think of.,,,,
3.0,18 Mar 2019,Deputy Engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW25224268.htm,Anonymous employee,Former employee,A proper work-life balance can be managed.,At times one feels that their efforts are not being acknowledged and recognized.,,,,
4.0,18 Apr 2019,TRAINING,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW25750548.htm,Graduate engineer trainee,"Current intern, less than 1 year",nice place to learn all the required things for a beginner,sometimes too much of wok and sometimes no work,Bengaluru,,,
4.0,8 May 2019,Career development,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW26035088.htm,Contracts engineer,Current contractor,,,Bengaluru,All good best company to work one should be lucky to work,Nothing all good best company,Show more
4.0,31 May 2019,GAPP Trainee,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW26416198.htm,Anonymous employee,Current employee,,,,"Salary is good
Work is very less for trainees",Experience is not so effective,Show more
3.0,13 Jul 2019,Good company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW27977644.htm,Deputy engineer,"Former employee, more than 1 year",,,Bengaluru,Best place to learn about systems and defence manufacturing,You will get more work pressure,Show more
5.0,18 Aug 2019,Contract engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW28696275.htm,Network engineer,"Current contractor, more than 1 year",It is a technology based company,"Nothing about the company, it is a good company with good environment",Bengaluru,,,
2.0,22 Aug 2019,Not satisfactory,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW28787291.htm,Anonymous intern,Former intern,There are no pros for an inetrn,They don't give their time to interns. No point in doing an internship here.,,,,
5.0,29 Oct 2019,nice company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW30093349.htm,Anonymous intern,Former intern,,,,"good working place ,good staff",no cons  everything is good,Show more
4.0,30 Jan 2020,Deputy engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW31585028.htm,Anonymous employee,Current employee,"It's public sector, have project related to defence",Never go for contract or part time job in this company,,,,
5.0,27 Jun 2020,great opportunity to have hands on experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW33930178.htm,Linux systems administrator,Former employee,,,Bengaluru,wide exposure to new technology,multiple jobs to be handled,Show more
4.0,29 Jun 2020,A good company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW33965440.htm,Graduate apprentice trainee,"Former employee, more than 1 year",,,Bengaluru,"Good working environment,
Seniors are very supportive,
got chance to learn lot on Defence.",Behaviour of security is not good.,Show more
