"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","27 Dec 2021","Review","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57107752.htm","Finance specialist","Current employee, more than 3 years","Bengaluru","a best captive company to work in.","There is no quantified approach for rewards and recognization","Show more"
"5.0","20 Jan 2022","Compensation","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58258062.htm","Payroll","Current employee, less than 1 year","Bengaluru","The best place to work","The employees Benefits would be more","Show more"
"3.0","7 Jan 2022","Good for all","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57572201.htm","Sap","Former employee","Noida","","",""
"5.0","18 Jan 2022","Good to work","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58156098.htm","Product sales manager","Current employee","Vadodara","","",""
"4.0","24 Jan 2022","good","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58480802.htm","Sales associate","Former employee, less than 1 year","Bengaluru","","",""
"1.0","22 Mar 2022","Very bad work life balance","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW61554031.htm","Project engineer","Former employee, more than 1 year","Bangalore Rural","There are no pros in this company","Bad work life balance
No appreciation
Very less hike
Managers are not skilled","Show more"
"5.0","11 Jan 2022","Good company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57729651.htm","Executive import - export","Former employee, more than 10 years","Mumbai","","",""
"5.0","11 Jan 2022","super","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57778397.htm","Anonymous employee","Current employee","Vadodara","All super
life is like a govt job","slow in doing many things","Show more"
"4.0","6 Jan 2022","Very good company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57490901.htm","Software engineer","Current employee, less than 1 year","Bengaluru","","",""
"5.0","7 Jan 2022","Awesome","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57555402.htm","Software engineer","Current intern","Patna, Bihar","","",""
"5.0","22 Dec 2021","Manager ABB","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57013466.htm","Manager","Current employee","Nashik","","",""
"1.0","25 Feb 2022","Good work experience but very bad exit experience","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW60301568.htm","Financial planning and analysis analyst","Former employee, more than 3 years","Bengaluru","","",""
"4.0","16 Dec 2021","Good","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW56766508.htm","Planning engineer","Current employee","Chennai","","",""
"3.0","16 Dec 2021","Good","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW56776614.htm","Project engineer","Current contractor","Bengaluru","","",""
"3.0","24 Dec 2019","Company with good products, technology, engineers but messed up by too many bad managers","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW30998444.htm","Software engineer","Former employee, more than 3 years","Bengaluru","Products, exposure to customers/markets, Best domain technology, work-life balance","ABB GISPL: R&D managers, Dept. Managers, Line managers are not fit for the job they are given. They don't care about employees/people and ABB.
They pull down their own teams who go beyond their line of duty to accomplish great work. Managers enjoy claiming the work done by the team without giving them any credit by not exposing them to global teams.
Do not help their teams in anything instead create trouble for them who tell truth or ask questions openly.
Hire B class employees so they listen to them only and don't ask anything. They support the people they hire with a bias towards them. (nepotism)
If their complaint is done to a higher management nothing happens. All have synced in between. HR is for name purposes with no power.
Deadlines are always missed due to poor project/program management capabilities.

The salary is average as per the market standard for IT employees.","Show more"
"2.0","26 Nov 2014","Get into this company if you don't want any growth esp. Robotics & Drives department in Bangalore","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW5444237.htm","Senior software engineer","Current employee, more than 3 years","Bengaluru","Work life balance is present but few people trying hard to destroy it.","1) Compensation. take home salary will be less. Increments are now no existent. very few in whole gets good increments. They are not looking for performance in work they are more interested in who obeys them. So what you get willbe the salary what you are getting in.

2) Bad place if you are a software engineer, firstly there isn't great technological work going on, Those who know very less leads you in project. Dont try to correct them you will be under rated. Also if you wanna growth talk more work less & please the people who on top with political plays. Also for them the people with domain experience matters. 

3) HR Doesn't care anything about employee. so your feedback's are just heading to dead ends.Will i join the company again? I doubt it 

The above mentioned things are directly applicable to Robotics & Drives department in BTP Bangalore","Show more"
