"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","18 Nov 2022","Everything looks good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71219860.htm","Financial sales consultant (fsc)","Current employee, more than 1 year","Best work experience in icici Prudential life company","Nothing its looks like everything is very fine and good","Show more","Jodhpur, Rajasthan","",""
"3.0","12 Dec 2022","Ready to move Pan India","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71784476.htm","Cluster manager","Former employee","","","","","Brand image getting more business","Shortage of manpower . Should be staff oriented"
"5.0","3 Nov 2022","No","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70747449.htm","Financial service consultant","Current employee, more than 1 year","Ipru Issa great opportunity to grab for your future life.","Business management problem ,no any hearing of lower management by higher.","Show more","Fatehābād, Haryana","",""
"5.0","21 Dec 2022","manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW72057931.htm","Business unit manager","Former employee, less than 1 year","","","","Panaji","best in class work culture","none. none none none none"
"5.0","30 Nov 2022","Good income opportunity","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71524869.htm","Unit manager","Current employee, less than 1 year","Good income opportunity Supportive staff","Continuous process for requirements of advisors","Show more","Vadodara","",""
"5.0","7 Dec 2022","Not Applicable","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71678967.htm","Unit manager","Current employee, less than 1 year","Good Brand and Good work environment","I cannot see any Negativity in ICICI Pru.","Show more","South Twenty Four Parganas","",""
"5.0","15 Nov 2022","Journey till date","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71090370.htm","Associate regional manager of operations","Current employee, more than 10 years","Entitlement, Regular System upgradation & Transparency","Not as such for now","Show more","Vadodara","",""
"5.0","2 Sept 2022","Best Company For Insurance And Incentive Criteria","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW68636916.htm","Associate financial service manager","Current employee, more than 1 year","1. Best culture for working. 
2. Company Provide Extra Benefit Like , Telephonic Bill , Petrol Allowance Etc .
3. Attractive Incentive Slab , Which Employee Earn Extra Income.
4. All Maneger's are Supportive In Icici Prudential.","1. Lower Package Compare To others Company.","Show more","Surat City","",""
"5.0","3 Nov 2022","I banca","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70737712.htm","Financial consultant","Current employee, less than 1 year","I had a good working experience here, good incentives..","The importance of life insurance cannot be ignored in ensuring the financial safety of our loved ones.","Show more","Bengaluru","",""
"5.0","30 Nov 2022","Awesome platform to catapult yourself.","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71496411.htm","Financial services consultant","Current employee, more than 3 years","","","","Jamshedpur","Great support system and Infrastructure for pioneering professional carrier.","It is always a mirror to you."
"4.0","20 Dec 2022","Sales manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW72001528.htm","Senior manager","Former employee, more than 1 year","","","","","Flexible timing with no restrictions","Bad working cultural no management"
"5.0","26 Nov 2022","Lots of learning for dealing with retail clients","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71408802.htm","Management trainee","Former employee, less than 1 year","","","","","Lots of learning for dealing with retail clients","Nothing as such Everything was good"
