review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,,,,,,,,,
5,19-Dec-12,System Analyst since 9 Months,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW2221438.htm,Systems analyst,"Current employee, more than 1 year",,,New Delhi,"Working Environment, Hard work, Standard",Working hour is too long i.e 12Hrs,Show more,,,,,,,,,
3,07-Jan-13,Quite professional environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW2257099.htm,M1a - assistant manager,Former employee,,,Mumbai,"1. Independence to decide your means to achieve target
2. Seniors facilitate team work","1. Appraisals are very political
2. Management doesn't support career aspiration of continuing education",Show more,,,,,,,,,
4,05-May-14,Learning,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW4171542.htm,Assistant manager,"Current employee, more than 5 years",,,New Delhi,Freedom to work and take decisions. Empowerment at work place.,High level of partial behavior from immediate managers. Compensation not at par with market.,Show more,,,,,,,,,
4,13-May-14,Had a good time,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW4214960.htm,Senior engineer (mechanical),"Former employee, more than 1 year",,,Mumbai,Company values. Great senior management. Exposure. Brand. Good place to start ones career.,Huge organization. Little power to influence process as an engineer. Many layers of management. HR policies are questionable.,Show more,,,,,,,,,
2,31-Jul-14,Bad work environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW4690443.htm,Anonymous employee,"Current employee, less than 1 year",,,Mumbai,Works for someone who has laid back and unenthusiastic attitude.,"Directionless work, no one is responsible for anything, extremely difficult to work",Show more,,,,,,,,,
3,01-Sep-14,Trainee,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW4885435.htm,Graduate engineer trainee,"Former intern, less than 1 year",,,Jājpur,Good opportunity for personal growth. Seniors are very helpful. Very good exposure to practical work. Great work experience. Amazing platform to learn practical things about Civil Engineering.,Long hours of work. Sometimes even on Weekends.,Show more,,,,,,,,,
5,03-Jan-15,Nice Experience- Professional Indian MNC having respected position in market.,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW5623568.htm,Sales engineer,"Former employee, more than 1 year",,,Nashik,"Best Systems
Transparency
Awesome Training
Best for Engineers","Low Salary
Slow career growth when you stay for a long term",Show more,,,,,,,,,
1,15-Mar-15,Feels like trapped in a time machine that took me to 80s. No life in office...,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW6119610.htm,Assistant manager,"Current employee, more than 1 year",,,Chennai,Experienced civil and mechanical people get more benefits. Security like government jobs.,No systems in place. Everything is based on personal relationship and power. Very old traditional system.,Show more,,,,,,,,,
3,14-Jun-15,well nd good,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW6901055.htm,Senior customer support engineer,"Current employee, more than 3 years",,,"Durgapur, West Bengal","motivating , nice work culture","Bad HR support, Work over load",Show more,,,,,,,,,
3,06-Sep-15,Good industry knowledge. Poor working conditions,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW7855941.htm,Senior engineer,Former employee,,,,"High learning for GET's, good responsibilities and excellent opportunities for industry knowledge.","Harsh working conditions, higher management has no idea of employees career progression.",Show more,,,,,,,,,
3,23-May-16,Ok Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW10698011.htm,Buyer,"Current employee, more than 5 years",Things are looking up now that some projects are in hand.New CEO is good.More like a semi-government company.,"bad salary,travel compensation is horrible. 6 days a week working.",Vadodara,,,,,,,,,,,,
4,17-Oct-16,Intern,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW12349626.htm,Intern,"Former employee, less than 1 year",,,Mumbai,"Since it is a huge company, there is a lot of scope to learn how various departments function.",Needs more agile employees. Our project was way behind schedule.,Show more,,,,,,,,,
3,03-Jan-17,Great brand name but low on work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW13172940.htm,Anonymous employee,Former employee,,,,"1) Great Brand
2) Big Ticket Projects
3) Many Internal opportunities","1) Semi-Government culture - highly bureaucratic
2) No uniform HR policies across businesses
3) Harsh life at project site-no proper incentives",Show more,,,,,,,,,
3,18-Jan-17,Engineering Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW13388203.htm,Senior engineer,Current employee,,,Ahmadnagar,Good exposure to work and good environment,Not much issues. Need Saturday and Sunday weekly off to maintain work life balance,Show more,,,,,,,,,
3,29-Jan-17,Work Environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW13540423.htm,Manager,"Current employee, more than 8 years",,,Mumbai,"Job stability, good learning opportunity","You have to work on your own, easy to get complacent",Show more,,,,,,,,,
3,23-Mar-17,Not good not bad,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW14309428.htm,Proposal engineer,"Current contractor, less than 1 year",,,Mumbai,"Exposure to various technologies and markets.
Relatively good salaries.
Good for professional growth.","Very pathetic and negative atmosphere within teams.
Work pressure (virtual)from sales.
Selfish management which only consider numbers and output not efforts n quality.",Show more,,,,,,,,,
4,28-Mar-17,great working with L&T,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW14379590.htm,Assistant manager,"Current employee, more than 1 year",,,Pune,"Amazing, Awesome, Fantastic, Mindblowing loved working with L &T. great working culture","gets less time, and give me less sleep",Show more,,,,,,,,,
4,30-Oct-17,Experience about site execution,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW17628117.htm,One and half years experience in site execution,"Former employee, less than 1 year",,,Tuticorin,"Good salary.
Great chance to learn lot of things.
Good experience.
And more things to say....","Especially to me,it was so difficult to balance my life style including family with job.",Show more,,,,,,,,,
4,18-Jan-18,Great Place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW18791995.htm,Manager,"Current employee, more than 5 years",,,Surat,We call it Learning and Development instead of Larsen & Toubro as it gives you opportunities to learn and develop your self.,Lengthy and non conclusive meeting many of the times.,Show more,,,,,,,,,
2,05-May-18,Join only for L&T brand name...,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW20445154.htm,Anonymous employee,Current employee,,,,Join only for brand name,"No real development work, only copy paste work is taken. No real growth.",Show more,,,,,,,,,
4,24-Sep-18,Good to start your career with,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW22627483.htm,Senior software engineer,"Former employee, more than 1 year",,,Mumbai,"Good company to work with, with lots of benefits in place..",Nothing as such if you really want to work and don't run from your responsibilities..,Show more,,,,,,,,,
4,19-Jan-19,One of my dream companies,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW24291774.htm,Senior engineer,"Current employee, more than 3 years",,,Cuddapah,Lot of exposure to technology and latest happenings,Time management is big issue and working on almost all Sundays,Show more,,,,,,,,,
3,07-Mar-19,Good for Hard Work Enthusiasts,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW25040440.htm,Senior civil engineer,"Former employee, more than 3 years",,,New Delhi,"Best Salary in Market, Latest Technology experience, Good overall growth.","Office Politics, Long working hours, No Self and Family time, Challenging work with deadlines.",Show more,,,,,,,,,
4,29-Aug-19,"Good work life balance, good growth for engineers and GETs, appraisal is meagre year on year.",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW28917670.htm,Human resources specialist,"Current employee, more than 5 years",,,Mumbai,"Work Life Balance,
Freedom to work","Loose policies,
Management not transparent,
Saturday working",Show more,,,,,,,,,
2,02-Feb-20,Not recommended,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW31642319.htm,Senior executive,"Current intern, less than 1 year",,,Coimbatore,Only Good infrastructure built at Coimbatore L&T valves,"System is not tuned 
Food quality is not good 
No transportation 
Working culture is not good",Show more,,,,,,,,,
4,17-Mar-20,Starting a job,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW32401481.htm,Senior engineer,"Former employee, more than 1 year",,,Mumbai,"Given time to understand work.
Flexibility to change your nature of work.",Sometimes the work gets too hectic,Show more,,,,,,,,,
5,02-Sep-20,Great,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW35533824.htm,Software developer,"Current employee, more than 3 years",,,Chennai,"Gives positive hopes, environment and challenges and provoke to be Shine. Lots of opportunity to work with very highly talented people . #LifeatLTTS #Greatplacetowork, #ProudToBeAtLTTS, #GoPlacesWithLTTS, #JoinLTTS, #LTTSUSA​",Nothing bad about the company,Show more,,,,,,,,,
3,30-Sep-20,Wik push you to limits,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW36527771.htm,Anonymous employee,Former employee,,,,"Job security as far as construction is concerned. 
Salary is always on time","No work life balance. 
No regard for time 

Just slog till you finish work, and get more work",Show more,,,,,,,,,
3,26-Oct-20,Good place to start career,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW37642128.htm,Executive design engineer,"Former employee, more than 3 years",Good place to start career. Good benefits and sufficient salary.,Big company so would have to struggle a lot to make your mark. Lot of red tape and time consuming process.,Pune,,,,,,,,,,,,
2,01-Nov-20,not a good company. You will regret only.,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW37865681.htm,Senior engineer,Current employee,Big name. You will learn to deal with any kind of unprofessional seniors.,less pay. Zero work life balance. Most unfair promotions. People of chatu category will be promoted.,,,,,,,,,,,,,
3,12-Aug-21,IS it worth working for?,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW51045424.htm,Anonymous temporary employee,"Current temporary employee, less than 1 year","Best in industry salary, Will never go out of work, Will get a lot to learn","Poor facilities for employees at the company guest house, You'll just stay for the duration",,,,,,,,,,,,,
3,03-Sep-21,worst work life culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW52053429.htm,Senior software engineer,"Current employee, more than 1 year",,,,"as a product based company you will get few benefit like cafeteria .,medical facilities.","Pay scale is very less for amount of time employee is giving.
Saturday working.
9am strict punching time.
worst gender ratio.",Show more,,,,,,,,,
4,13-Oct-21,Good environment to learn,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW53915327.htm,Cybersecurity analyst,"Current employee, more than 1 year",,,Chennai,"Training will be given for new technologies
Platform exposure to Learn","Work life balance is according to you and your team, it is not a Cons of course",Show more,,,,,,,,,
4,23-Nov-21,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW55744197.htm,Software engineer,Current employee,,,Mumbai,"Chill working environment
Job security
Less pressure","Slow response from HR
No proper information about company structure
Difficult to find a person to talk about your compensation or any other benefits or projects related issues
Manager is everything.",Show more,,,,,,,,,
3,10-Dec-21,Best platform to learn,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW56496699.htm,Engineer trainee,Current employee,,,,"The best platform for the freshers who are very much willing to learn new things, exposing to industrial environment, update about latest techs in market.",So much politics. Salary is very low.,Show more,,,,,,,,,
4,22-Dec-21,Good place to learn with many pros & cons like every  other Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW56992615.htm,Project engineer - mechanical,Current employee,,,Vadodara,"Great exposure in EPC sector being a market leader.
Very challenging work environment.","Too much of workloads.
Salary lesser compared to sector companies.",Show more,,,,,,,,,
4,15-Sep-11,As an intern it was good learning experience for me and build on my knowledge of wireless systems,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW1109467.htm,Summer intern,Former employee,"Good projects, interesting work, some really intelligent people around",Everything seems to move ridiculously slow,Mumbai,,,,,,,,,,,,
4,28-Oct-11,Good learnign experience but low technological work,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW1174855.htm,Senior engineer,Current employee,,,Chennai,"Good learnign experience, good career growth ops in management cadre",No innovation in  the company,Show more,,,,,,,,,
3,26-Jun-12,"Not satisfy with timings, facilities at site & way of working at site",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW1655375.htm,Senior engineer,"Current employee, more than 1 year",,,Dhanbād,Great Culture & System of work.,No time for personal life,Show more,,,,,,,,,
4,08-Aug-12,its been a good company to work wit so far..great cultural values.,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW1822468.htm,Anonymous employee,"Current employee, more than 1 year",good appreciation for work done,placement location not asked or no option for department given..as of 2 begin with dis year arnd..,Mumbai,,,,,,,,,,,,
3,02-Feb-13,Sr. Design engineer Civil / Structural,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW2336230.htm,Senior design engineer,"Current employee, more than 1 year",,,"Farīdābād, Haryana","Highly qualified team member from reputed IIT,NIT,State Govt College
Helpful Senior Members
Secured job.","Compensation and Benefits are low .
Very bad unresponsive HR team.",Show more,,,,,,,,,
5,17-Feb-13,A Superb Company for fresher as it gives lot of opportunities to growth & develop.,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW2377064.htm,Manager - finance,"Current employee, more than 1 year",Fresher gets enormous knowledge & learn how to handle responsibilty,Difficult to Quite. Compensation is a bit lower.,Chennai,,,,,,,,,,,,
2,30-Jul-13,Very bad experience till now....,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW2878550.htm,Anonymous employee,"Current employee, less than 1 year",,,Chennai,"Goodplace to gain knowledge.
Great exposure to the real world.","Dont know about the other department but in my dept(ti ic), the co-workers are not friendly.
Feel like an alien in this company.",Show more,,,,,,,,,
4,16-Aug-13,Good to work here,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW2940404.htm,Senior design engineer,"Current employee, more than 3 years",,,"Farīdābād, Haryana","Nice team ,Nice people
great challenges, versatile working environment",salary is not competitive as per current market.,Show more,,,,,,,,,
3,30-May-14,Good for a learner,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW4313456.htm,Anonymous employee,"Current employee, more than 1 year",,,,"Great platform to learn leadership,taking responsibility and all out chances to learn for newcomers",Working hour too long to work with,Show more,,,,,,,,,
4,13-Aug-14,it is the best indian company in construction area,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW4772114.htm,Graduate engineer trainee,"Current contractor, more than 10 years","for good bonus you should join this,and for challenging work people may join this firm.",consistency  is the essential requirement for joining this firm,"Jaipur, Rajasthan",,,,,,,,,,,,
4,06-Aug-15,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW7486442.htm,Senior software developer,"Former employee, more than 5 years",,,Mumbai,I joined it as a fresher. It gave me ample opportunities to develop myself with the latest technologies.,HR policies are not employee friendly,Show more,,,,,,,,,
3,22-Aug-15,Engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW7683623.htm,Engineer- e1,"Former employee, more than 1 year",,,Mumbai,"Multibillion conglomerate with strong financials indicating job security
Provides lot of training for employees
Gives opportunity to work hands on at a early stage of career","Bureaucratic Organization
Growth is not immediate
Decision making takes lot of time",Show more,,,,,,,,,
3,13-Sep-15,management trainee,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW7929883.htm,Anonymous employee,Current employee,,,Mumbai,"Great experience, good projects, lot to learn and across different disciplines","Low pay, lesser chances of growth immediately after graduation",Show more,,,,,,,,,
3,09-Nov-15,Good Experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW8586288.htm,Anonymous employee,Former employee,,,,"One of the best in the field.
as GET you get to learn the most.","Working hours must be reduced.
Working condition at some of the places can be improved.",Show more,,,,,,,,,
4,28-Dec-15,Overall very good company to start a career with,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW9012683.htm,Pget,"Current employee, less than 1 year",,,Mumbai,Great learning opportunity...freedom to work...sustainable job,very less salary and six days per week working,Show more,,,,,,,,,
2,12-Jan-16,No reviews,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW9161559.htm,Anonymous employee,"Current employee, more than 1 year",,,,Onsite chances are more. This again depends on verticals and horizontals,No oppurtunities to learn more. No Work life balance,Show more,,,,,,,,,
4,18-Jan-16,Good Internship Experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW9246041.htm,Management intern,"Former intern, less than 1 year",,,Mumbai,"Helpful Management, Involvement in day to day activities and access to important works.",Does consider interns for pre placement offers.,Show more,,,,,,,,,
4,15-Feb-16,Good for learning and experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW9581515.htm,Anonymous employee,"Current employee, more than 1 year",,,Surat,Wide exposure to manufacturing capabilities and enhanced technological capabilities. Enhances your confidence level and more focus on your training.,Low package. have to work extra hours. lesser job satisfaction,Show more,,,,,,,,,
4,06-Jul-16,"L&T, Coimbatore Switchgear Design and Development Centre",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW11147395.htm,Assistant general manager,"Current employee, more than 8 years",,,Coimbatore,"U get good time to be yourself,
Low Politics
Family atmosphere","Biased salary and promotions
Lower visibility to senior management",Show more,,,,,,,,,
4,21-Aug-16,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW11633663.htm,Anonymous employee,"Former employee, more than 1 year",,,Mumbai,"Nice pay
Nice accommodation
Good work culture
Good increment
The company is very good to freshers",Long work hours they tell to work for 12 hours and sometimes even on weekends and holidays,Show more,,,,,,,,,
3,07-Jan-17,Executive-1,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW13228980.htm,Anonymous employee,"Former employee, more than 1 year",,,Mumbai,"Stability is good. Very few folks get fired.
Company reputation is good","Growth is limited, its almost like a govt job where you get promoted after you spend certain time with the company.
Compensation is dissapointing.",Show more,,,,,,,,,
2,21-Feb-17,Don't know what i am doing,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW13872127.htm,Senior engineer (ehs),Current employee,,,Mumbai,Employees working are good and supporting,"Management is not supporting at all & Growth is too slow depends on your boss, how well you have maintain your relationship with him.",Show more,,,,,,,,,
3,04-Apr-17,R&D Engineer at medium voltage switchgear,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW14490527.htm,Senior engineer research and development,"Current employee, more than 1 year",,,"Powai, Maharashtra",Good for electrical engineers and would like to work at production site,Not good for mechanical engineers. Less supportive workplace. Backward city location.,Show more,,,,,,,,,
5,23-Apr-17,Mechnical Engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW14754761.htm,Anonymous employee,Former employee,I got to learn things which my books never thought me.,It was my first and a dream to work in a company like L&T so i didn't find any cons,,,,,,,,,,,,,
2,03-May-17,Not good,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW14897893.htm,Executive engineer,"Former employee, more than 5 years",,,Vadodara,"Opportunity to work on different products
Opportunity to work overseas","Completely non professional
Regional bias especially if you are from North India
Managers are technically incompetent",Show more,,,,,,,,,
3,18-Jul-17,To seek an opportunity where my skills and ability can be fully utilize and contribute to the success of organization,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW15946965.htm,Anonymous employee,Current employee,"Attractive ,wish and success of organization",All is well but we can improve of organization,Pashchim Champaran,,,,,,,,,,,,
4,26-Oct-17,please give me job,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW17564736.htm,Computer systems analyst,Current employee,,,Mysore,I want to improve my skill and knowledge,I have finance problem in my family's,Show more,,,,,,,,,
4,17-Jan-18,QA manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW18784328.htm,Qa manager,"Former employee, more than 5 years",,,"Powai, Maharashtra",Good family life.  Salary too good. So many new thing to learn.,Bit politics environment. So much pressure of bosses and senior,Show more,,,,,,,,,
2,07-Mar-18,Depends which Department you are in,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW19575605.htm,Senior engineer,"Former employee, more than 1 year",,,"Powai, Maharashtra","decent pay
okay transport facilities
almost a permanent job","bad work culture
slow growth
not much scope to move around in the company",Show more,,,,,,,,,
3,22-Apr-18,Good to work but less to learn and develop.,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW20258523.htm,Intern,"Former intern, less than 1 year",,,Calcutta,"Good workplace.
Good work culture.
No extra time work.",Learning opportunities are low since research is too slow if any.,Show more,,,,,,,,,
4,20-Sep-18,Assistant manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW22574882.htm,Anonymous employee,Former employee,,,,"Best defined as L&T (Learning & Training) 
You actually feel like working for a big company","Same as others, internal politics & cost cutting",Show more,,,,,,,,,
3,22-Sep-18,Not a Good company for innovation,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW22610996.htm,Manager,"Current employee, more than 5 years",,,Mumbai,"Job security, Brand, offices in different parts of world","No support for innovation
Salary
Slow Growth
Complex salary structure",Show more,,,,,,,,,
3,26-Nov-18,Senior Engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW23563449.htm,Senior engineer,"Former employee, more than 1 year",,,,"If you are at site, very good perks and salary",No work life balance at all....No saturdays and sundays off.....Dont think of getting any holidays,Show more,,,,,,,,,
4,15-Mar-19,civil supervisor,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW25185400.htm,Civil site supervisor,"Former contractor, more than 5 years",,,Mumbai,I get new knowledge of construction in larsen & Toubro,Always delayed in payment saftey is bad work time is nt perfect till now,Show more,,,,,,,,,
1,28-Jun-19,"Zero work ethics, zero work life balance, negligible personal growth. Violating labour laws like anything.",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW27680084.htm,Senior architect,"Current employee, more than 1 year",,,Chennai,Only pro is that it pays well when compared to other indian construction companies,"Long working hours almost everyday, 
Zero learning.",Show more,,,,,,,,,
2,25-Sep-19,Senior Engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW29441283.htm,Senior engineer,"Former employee, more than 1 year",,,Visakhapatnam,"Good exposure to Project environment.
Place of posting is good","Too much of politicking.
Machines are loved and people are used
Learning and growth is very slow.
No internet facility and mobile phones are not allowed to carry",Show more,,,,,,,,,
5,05-Dec-19,"NDT inspector, Quality Department",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW30711319.htm,Anonymous contractor,Current contractor,quality is the one of main part of manufacting. because of this product is withstand more.,"i am working at heavy machinery job like pressure vessel, furnace, piping etc.",,,,,,,,,,,,,
5,26-Aug-20,A great company to work with . Top level working culture .,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW35311010.htm,Senior sales engineer,"Current employee, more than 1 year",,,"Raipur, Chhattisgarh","A Good place to devlop your skill set.
Working culture best in the market.",Growth rate is less and no incentive policy.,Show more,,,,,,,,,
4,27-Sep-20,Construction division,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW36420309.htm,Project manager,"Current employee, more than 10 years",,,New Delhi,"Good chances of development and growth

Number of ways to improve skills and training",Work life balance to be improved,Show more,,,,,,,,,
1,13-Nov-20,"Honestly, Do not join this company",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW38331408.htm,Project lead,"Current employee, less than 1 year",,,Bengaluru,Only salry that you will get on time.,"Everything is cons only. Very bad culture and project. Project duration is very short. If no option the they will send at client location specially at Huawei. And after that your life will become hell. 
One more important point: all 4* or 5* reviews are fake review only.",Show more,,,,,,,,,
3,14-Jan-21,Not a great company for commerce grads,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW40700995.htm,Accounts officer,"Current employee, more than 5 years",,,Bengaluru,Not much that I can thing of,A lot that I wouldn't want to weep about,Show more,,,,,,,,,
5,01-Feb-21,Good Importance to EHS,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW41737813.htm,Assistant manager ehs,Current employee,,,Hyderābād,"Salary, Brand Name, Policies, Interaction with different clients",Working at site remote locations,Show more,,,,,,,,,
4,18-Feb-21,Great carieer,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW42711707.htm,Senior civil engineer,"Former employee, more than 8 years",,,Chennai,Taking responsibility as we can build leadership quality,Politics of middle management affecting the team building of right people.,Show more,,,,,,,,,
5,18-Mar-21,Structural design engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW44213818.htm,Structural design engineer,"Current employee, more than 10 years",,,Chennai,"very good for learning
challenging
eco friendly
proper man-management
learning more skills
A keen communicator with honed interpersonal, problem solving, and analytical abilities",technical expertise any work do with quality and prompt,Show more,,,,,,,,,
5,24-Mar-21,Perfect Manufacturing Firm,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW44474360.htm,Internship,"Current freelancer, less than 1 year",,,Mumbai,Good food service and working environment is amazing.,The temperature i feel inside the Manufacturing firm is quite high. And it’s very irritating,Show more,,,,,,,,,
5,25-May-21,Excellent,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW47427499.htm,Rpm,"Current employee, more than 5 years",,,Villupuram,The company provides immense opportunity for growth for the deserving employees. Is good at employee care also and provides many benefits for COVID affected employees,Good SOP there is no issues,Show more,,,,,,,,,
2,19-Oct-21,Life at L&T,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW54224865.htm,Assistant manager,"Current employee, more than 3 years",,,Ahmedabad,providing relatively better salaries than the peers in construction industry,"Worst work-life balance.
Hard to get leaves.
Posting at remote locations
After some time in the firm, you feel like you are leading a monotonous life",Show more,,,,,,,,,
3,05-Nov-21,"Responsible for Design, drawing checks of Civil Structures in Large Irrigation Projects.",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW54960542.htm,Senior design engineer,"Former employee, more than 1 year",Job stability and pay scale is better as compares to most of its sectoral companies.,Work-life balance is very difficult to achieve here.,Chennai,,,,,,,,,,,,
3,16-Nov-21,Design manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW55410677.htm,Manager,"Former employee, more than 8 years",,,Mumbai,"Work life balance
Opportunities to experiment and learn","Salary
Less flexible work culture
Too many layers in decision making",Show more,,,,,,,,,
2,10-Jan-22,Slow to no growth,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW57714180.htm,Manager planning,"Current employee, less than 1 year",,,New Delhi,Competitive salaries with other core construction companies,"Age-old methodologies, highly bureaucratic procedures, no real talent recognition",Show more,,,,,,,,,
