review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,,,,,,,,,
3,22-Sep-24,Bad work environmment,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91236604.htm,Junior software developer,Former contractor,Good understanding and support among the team,Not get the interest to work because of bad work culture,,,,,,,,,,,,,
3,20-Sep-24,-,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91196060.htm,Graduate engineering trainee get,"Current employee, less than 1 year",,,Chennai,Money can be saved as the location on the outskirts of Chennai,"no personal life, as the location is on the outskirts of Chennai",Show more,,,,,,,,,
4,24-Sep-24,Ok,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91301837.htm,Assistant manager,"Current employee, more than 5 years",,,Calcutta,"Good benefit, good social communication",Work culture is dominated by south india,Show more,,,,,,,,,
4,23-Sep-24,"Good Pay, Bad work culture",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91256506.htm,Assistant manager,"Former employee, more than 5 years",Pay is good as compared to standards,Work culture is bad. Long working hours,Meerut,,,,,,,,,,,,
2,26-Sep-24,Good Learning,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91380025.htm,Assistant construction manager,"Former employee, more than 5 years",Learning Workload Extended Hours Bad,Politics bad bad bad bad,Vāranāsi,,,,,,,,,,,,
3,18-Sep-24,Software engg,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91132769.htm,Software engineer,Former employee,"Great connections, opportunity to work on good projects and clients",Local ways of working dependent on uour bosses or dept heads. People don't change since low churn,Navi Mumbai,,,,,,,,,,,,
3,25-Sep-24,Good organisation,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91331817.htm,Process engineer,"Former employee, more than 1 year",,,Mumbai,"Work life balance
Good food
Facilities","Growth opportunity 
Pay
Incentives
HR is very slow",Show more,,,,,,,,,
3,22-Sep-24,Average Service based industry,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91247936.htm,Senior technical writer,"Current employee, more than 3 years",,,Bengaluru,Good learning with better work enviornment,"No flexible timings
Less increments and bonus variables",Show more,,,,,,,,,
1,03-Oct-24,Not worth it,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91587595.htm,Summer intern,"Former intern, less than 1 year",There are no Pros for this company,Everything this company is just hell,Mysore,,,,,,,,,,,,
1,19-Sep-24,Not suitable for young generation,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91181085.htm,Post graduate engineering trainee pget,Current employee,,,Hazira,"1. Job stability
2. Nothing much
3. Good for 15-16 years experience professional to join","1. No difference between PGETs and GETs. Even with higher qualification from reputed institute, you will be posted along with GETs.
2. Very less salary
3. No flexibility at all, no work from home
4. Doesn't treat their employees well.",Show more,,,,,,,,,
5,22-Sep-24,The Best MNC,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91243120.htm,Junior supervisor,"Current employee, less than 1 year",The Best ind in India,Nothing to say anything equals.,Chennai,,,,,,,,,,,,
5,12-Sep-24,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW90968775.htm,Quality manager,Former employee,,,,"Worked in World class Projects like Abu Dhabi Airport Midfield Terminal Complex, High Speed Rail in Gujarat.
Great Quality and Time management in projects outside India.",Not so good time and quality management in Indian Projects.,Show more,,,,,,,,,
1,02-Oct-24,Not Worth it,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91551242.htm,Senior design engineer,"Former employee, more than 1 year","Legacy, Network, Extra Curricular, Facilities",Hierarchy; Micro-Management; Work-Life balance; Compensation; Less employee friendly company,Chennai,,,,,,,,,,,,
4,18-Sep-24,good company with bad management,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91123241.htm,Senior design engineer,"Current employee, more than 1 year","very good projects ,exposure to projects all around the world","very very very very bad management ,favourism is high",Chennai,,,,,,,,,,,,
4,22-Sep-24,application process,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91229617.htm,Graduate engineering trainee get,"Current intern, less than 1 year",Have to give every details,form is quite longer to fill,"Jaipur, Rajasthan",,,,,,,,,,,,
