"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","3 Jan 2022","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW57324061.htm","Ramp","Current employee","Bengaluru","No red tape, Excellent On-time performance","Highly Efficient and High network","","",""
"3.0","11 Nov 2021","Lot to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW55234009.htm","Technical officer","Current employee, more than 3 years","","","","Lots to learn
Freedom to work
Employee centric approach","Salary not proportional to work","Show more"
"5.0","19 Nov 2021","Enthusiastic work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW55598507.htm","Assistant manager","Current employee, more than 5 years","Guwahati","Optimistic approach towards the people","Irregular shift timings and duties","","",""
"4.0","8 Oct 2021","airport","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW53702542.htm","Security officer/security guard","Current employee, more than 1 year","Chennai","","","no work tension
working atmosphere
career growth","shift timing is worst
covid condition are okai","Show more"
"5.0","11 Sept 2021","Amazing Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW52395084.htm","Lead cabin attendant","Former employee, more than 3 years","Mumbai","Amazing Company To work with","None I can think of","","",""
"4.0","6 Nov 2021","Aviation","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW54990679.htm","Csa lowes","Former employee, more than 1 year","","Great place to learn as a fresher","Appraisal process can be improved","","",""
"4.0","8 Oct 2021","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW53716514.htm","Anonymous employee","Former employee, less than 1 year","","good experience In the company","good for all of employee","","",""
"3.0","7 Nov 2021","Company cuulture","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW55014538.htm","Anonymous employee","Former employee","","good to work in company","not so systematic in approach","","",""
"1.0","8 Oct 2021","The Management is Biased","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW53719677.htm","Customer-service executive","Current employee","Patna, Bihar","","","On time salary
Shift timing is least cared of after pandemic","High work pressure compared to the work delivered with less salary and above all promotions are biased irrespective of staff being skilled to compete the company never cares","Show more"
"5.0","3 Apr 2023","Best Airline Industry In India","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW75160082.htm","Senior cabin crew","Former employee","","","","This company is very customer centric and employee friendly. Being one of the oldest the best airline in India it has kept its standard operating procedures in line and make sure the employees have the latest curricular. Equality at work, all are respected weather internal customers(fellow colleagues) as well as external customer(Passengers)","Being the No#1 Airline in India connecting customers from any part of the country to any other place, they have a lot of connections and hence Cabin crew have some very hectic sectors and not getting the right pay for the amount of hard work given.","Show more"
"3.0","16 Jun 2023","Interglobe Aviation","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW77439977.htm","Lead cabin attendant","Former employee","","","","pay really well and get free staff tickets","flying everyday 5 sectors is really tiring. they ask you to fly you on minimum hours of rest","Show more"
"4.0","28 Jun 2023","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW77814215.htm","Customer service representative","Former employee, less than 1 year","Delhi, CA","good company and have good opportunities","No negative comments , everything is good","","",""
"5.0","14 Feb 2023","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW73603385.htm","Executive customer service","Former employee, more than 8 years","","Great place to work in airline industry","No growth if you stay at one base","","",""
"5.0","2 Jun 2022","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW65035713.htm","Flight attendant","Former employee, more than 5 years","","Travel benefits and great work culture","Less work and life balance","","",""
"5.0","20 May 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW64448224.htm","Flight commander","Current employee","","On time salary,good working condition","Not very flexible, long working hours","","",""
"5.0","30 Jan 2022","Company is good","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW58803577.htm","Security officer","Current employee","London, England","","","Team Work,positive attitude,Right decision making,quick reaction and action taking,positive working Environment.","Inadequate training,No truly voluntary,lack of management interest.","Show more"
"4.0","19 Jan 2022","Airport Operations and control centre","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW58224370.htm","Airport operations","Former employee","Dubai","","","Worked for the Leading Airline in India
Flight tickets free around the globe
Salary On time
Health & medical benefits(Insurance)","Extreme climate
Irregular shift patterns
Payment less","Show more"
"5.0","21 Jan 2022","Coolest airline","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW58343618.htm","Cabin crew","Current employee","New York, NY","One time, customer oriented and Hassel free.","Low budget, less destination ,work load","","",""
"4.0","29 Nov 2021","Excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW55979488.htm","Executive security","Current employee","Washington, DC","","","Excellent work place, best careers oppertunity along with knowledge and learning new things on shift","Excellent working experience in interglobe aviation Ltd. Its number one company in india.","Show more"
"4.0","26 Nov 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW55888354.htm","Customer service executive","Current employee, more than 1 year","","","","On time salary 
Friendly environment","Rotational shift and extra working hours","Show more"
"5.0","26 Oct 2021","Excellent Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW54486417.htm","Security supervisor","Current employee","Dubai","Indigo is Great place to Work","Very Good service, growing company","","",""
