"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","21 Oct 2021","Great Company","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW54285463.htm","Senior developer","Current employee, less than 1 year","Mumbai","","","","Great work culture and great opportunity","None that I can think of"
"3.0","21 Oct 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW54331934.htm","Operations manager","Current employee, more than 1 year","Bengaluru","","","","OKay, no pressure on you. go with the flow","NO growth here. Find a Startup"
"5.0","16 Nov 2021","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW55436680.htm","Territory sales manager","Current employee","Pune","","","","Ok good Reputable company nice guidance and opportunity","Not satisfied with senior management"
"4.0","22 Dec 2021","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW57012046.htm","Senior sales manager","Current employee, less than 1 year","","","","","Technologically advanced, Market leader, good learning opportunities","Less growth opportunities for new employees"
"3.0","4 Jan 2022","Job","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW57377121.htm","Icici lombard inbound voice process","Current contractor, more than 5 years","Calcutta","Good Environment there .good support","Nothing Bad 
nice team there","Show more","",""
"4.0","29 Feb 2016","Product Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW9739636.htm","Anonymous employee","Current employee","","","","","A good place to Work","A good place to Work with deadlines"
"4.0","13 Jun 2018","Not available","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW21022168.htm","Anonymous employee","Former employee","","Good work life balance
Good quality of work","Work environment Typical Indian Culture","Show more","",""
"5.0","23 Jul 2018","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW21600823.htm","Anonymous employee","Current employee","","","","","Brand name to work with","Too many systems it creates confusion"
"2.0","11 Sept 2018","Bad","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW22419243.htm","Anonymous employee","Current employee","Pune","","","","Brand name is good in Market","Bad work culture  so no lookout for employees"
"3.0","2 Nov 2018","Good Company for freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW23243002.htm","Corporate finance manager","Current employee, more than 3 years","Hyderābād","Friendly Environment , Good Response","The worst work culture ever","Show more","",""
