"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","21 Mar 2023","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW74726581.htm","Anonymous employee","Former employee, more than 3 years","Bharūch","",""
"3.0","7 Mar 2023","Work Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW74271636.htm","Senior csv engineer","Former employee, more than 3 years","Ahmedabad","One can get to know the work ethics. Professional and Personal life balance","Traditional Work Culture. Salary Growth"
"5.0","10 Feb 2023","Analyzing drug and tablet in HPLC and validation based activity.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW73526931.htm","Scientist ii","Current employee, more than 1 year","Ahmedabad","Analyzing drug and tablet in HPLC and validation based activity.","In this company have very good and healthy environment."
"4.0","17 Feb 2023","A good company to settle down and work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW73724692.htm","Medical representative","Current employee","","Phenomenal work culture. Not nudging towards unethical work practices.","A little bit old school."
"5.0","22 Feb 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW73892929.htm","Executive","Former employee, more than 3 years","Ahmedabad","Good work culture at torrent","No problem at torrent all ok"
"4.0","6 Feb 2023","Good to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW73374885.htm","Assistant manager","Former employee, more than 5 years","Baddi","",""
"4.0","2 Feb 2023","No","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW73252592.htm","Asm (area sales manager)","Former employee, more than 5 years","Vāranāsi","Good company , strong hr, growth prospects are bright","Now situation is changing. Hiring from outside"
"3.0","21 Jan 2023","last company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW72848419.htm","Medical representative","Former employee, more than 5 years","Jalgaon","",""
"4.0","3 Feb 2023","Good work place","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW73301857.htm","Executive","Current employee, more than 5 years","Ahmedabad","Transport facilities is very good","Low pay as per industry standard."
"2.0","1 Nov 2022","Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW70667621.htm","Technical assistant","Current employee, more than 10 years","Gāndhīnagar, Gujarat","",""
"4.0","24 Dec 2022","Instrumentation","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW72106840.htm","Senior instrumentation engineer","Current employee","","",""
"4.0","11 Jan 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW72514716.htm","Assistant manager","Former employee, more than 3 years","","Good portfolio of development and new products","Salary and hike is not up to the mark"
"3.0","23 Jan 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW72892471.htm","Trainee teaching associate (tta)","Former employee","East District","Good company for freshers to start","Nothing i have found yet."
"3.0","30 Dec 2022","Good culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW72205349.htm","Executive scm","Current employee","","",""
"5.0","16 Dec 2022","Very nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW71916793.htm","Pharmacy technician","Former employee","","",""
"3.0","12 Nov 2022","Good to work for gaining experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW71013738.htm","Manager","Former employee","","",""
"2.0","17 Nov 2022","Stressfull Environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW71162336.htm","Trainee executive","Former employee","Ahmedabad","Got to lear a lot","Rigid Culture no work life balance"
"3.0","22 Aug 2022","It is an ok company for Ahmedabad level, very low salary growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW68222916.htm","Assistant manager","Former employee, more than 5 years","Ahmedabad","",""
