"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"1.0","25 Apr 2015","Associate Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW6436348.htm","Anonymous employee","Former employee","","","Hyderābād","Salary was good. Opportunity to interact with diverse people.","Bad work culture. Bureaucracy. High level politics. Branches were ill maintained.","Show more"
"1.0","4 Dec 2020","Worst working environment and immense pressure","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW39080310.htm","Key account manager","Current employee","","","New Delhi","Give opportunity to everyone irrespective of their field","Pathetic work environment, don't confirm their employees and continue their employment on a probation for more than a year","Show more"
"1.0","5 Dec 2019","Not a good bank to work in","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW30727198.htm","Bsm","Former employee, more than 1 year","","","Indore","None. Worst company to work in","Everything! A high-pressure job with less salary","Show more"
"1.0","23 Dec 2020","Worst work culture and Manager harass his employees","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW39744415.htm","Sales acquisition manager","Current employee, less than 1 year","","","Bengaluru","Have nothing for pros, I am totally roasted in this company","worst management, worst work culture, Lack of professionalism and management","Show more"
"1.0","22 Nov 2021","Not the best place to grow","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW55681797.htm","Service delivery manager","Former employee, less than 1 year","","","","Colleagues were very helpful and encouraging","Very toxic work environment and branch managers are will demotivate and insult you at every step you take","Show more"
"1.0","30 Jul 2018","CASA CASA CASA","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW21719343.htm","Mtbdm","Former employee, less than 1 year","","","Mumbai","pays salary before the time","damn high work pressure, zonal heads interfere for small small things.","Show more"
"1.0","11 Jun 2019","Worst place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW27181746.htm","Anonymous employee","Current employee","","","","No pros at all. Its a pathetic work place","No systems, politics, ABN AMRO refugee camp","Show more"
"1.0","6 Feb 2021","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW42075557.htm","Manager","Former employee, more than 1 year","","","","No positive values to add or describe","Bad Salary
Bad work environment
Bad promotion
Bad increment
Bad work culture
lot of politics","Show more"
"1.0","15 Sept 2015","Select RM","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW7951966.htm","Anonymous employee","Current employee","","","Noida","Can't remember any Pros.. You can get good salary at the time of joining","Unprofessional behavior 
Only focus on short term fee model.
Poor service and process","Show more"
"1.0","24 Jul 2016","Hite and fire","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW11336225.htm","Business banking","Current employee","","","New Delhi","good salary package, work life balance","Hite and Fire, No Focus on products","Show more"
