"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","6 Apr 2021","Great place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW45102411.htm","Assistant manager","Former employee, more than 5 years","Wonderful organisation , flexible , lots of leaves , no long working hours","Nothing in specific , salary revision is less","Show more"
"5.0","9 Apr 2021","Company is good overall, need to focus on compensation","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW45275737.htm","Associate software engineer","Current employee","","",""
"4.0","28 May 2021","Good place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW47595826.htm","Senior product manager","Current employee","Good salary
Good hike
Great work life balance
Independence","Beauracratic
Product leadership vision is lacking
Officie politics","Show more"
"2.0","8 Jun 2021","Worst company for fresher's","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW48061132.htm","Noc engineer","Former employee, more than 1 year","Job security is better than other companies","Poor work life balance. Poor pay structure. Poor culture. Too much of nepotism.","Show more"
"3.0","2 Aug 2021","Airtel x labs experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW50582739.htm","Sde-intern","Former intern, less than 1 year","Great learning environment, combination of both startup and big organization environment","Pay is less compared to other companies","Show more"
"1.0","8 Aug 2021","Worst place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW50857149.htm","Asm (area sales manager)","Former employee, more than 1 year","It's a very profitable organisation which assures rewards and compensation would be paid. Products are highly demanded.","No Job security. There's alot of betrayal, politics, overbearing line managers, bullying and verbal assault. You would get Mental health issues from working here","Show more"
"5.0","24 Sept 2021","Opportunity to enhance","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW53028502.htm","Team leader","Current employee, less than 1 year","Friendly atmosphere & scope for career growth","Technology & backend support is not strong","Show more"
"5.0","27 Sept 2021","Great place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW53132709.htm","Project manager","Current employee, more than 3 years","Great work environment, great culture. 
Many things to learn","Bad work life balance for customer facing role.","Show more"
"3.0","28 Sept 2021","Good employees and Bosses","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW53222283.htm","Analyst","Current contractor, less than 1 year","Has the best employees, you enjoy working with the staff","Low remuneration compared to other companies in the telecommunications industry","Show more"
"4.0","12 Oct 2021","Looking for supervisor or team leader profile","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW53881581.htm","Store supervisor","Current employee, more than 3 years","Way of working is very good.","No downsides. It's a good experience with airtel","Show more"
"5.0","19 Oct 2021","Work experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW54174099.htm","Executive","Current employee, less than 1 year","i am able to learn different type of domain.","we have to handle work pressure.","Show more"
