review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,10 Oct 2017,Hi there,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW17263160.htm,Anonymous employee,Current employee,,"Best place to work,  safety always first","No work life balance,  hectic schedule",Show more
3.0,5 Mar 2018,Senior engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW19527422.htm,Senior engineer,Current employee,,"If we want stress free environment ..this is it.
Never a delay in salary","Job security not available 
Remote location",Show more
3.0,5 Mar 2018,Adani Ports and SEZ review,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW19536702.htm,Senior engineer,"Former employee, more than 1 year",Chennai,,,
4.0,6 Dec 2018,Overall Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW23726274.htm,Anonymous employee,"Current employee, more than 1 year","Mundra, Gujarat",,,
3.0,12 Jun 2019,"Average growth, work life balance,remote locations",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW27198969.htm,Anonymous employee,"Former employee, more than 1 year",,,,
4.0,11 Dec 2019,Best for learning about port industry,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW30810201.htm,Senior engineer,"Current employee, more than 3 years",Surat,"Freedom to take decision. 
Good salary","Shift duty 12 hrs , no proper management",Show more
3.0,30 Jul 2013,Good project exposure,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW2874149.htm,Contract administrator,"Current employee, more than 5 years",Gāndhīdhām,,,
4.0,25 Feb 2018,Senior Officer,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW19405191.htm,Senior officer,"Current employee, less than 1 year",Chennai,Excellent company to work with,Paying very less to freshers,Show more
4.0,22 Dec 2018,Good place,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW23935557.htm,Safety manager,"Former employee, less than 1 year",Surat,"Freedom to work, high salary, motivated, good infrastructure","Management level discussion, work life balance, area imtereor",Show more
5.0,25 Sept 2020,Very Good Company and Group to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW36361504.htm,"Manager, internal audit","Former employee, more than 1 year","Mundra, Gujarat",,,
4.0,8 Jan 2015,Good com,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW5660234.htm,Anonymous employee,Current employee,,Culture. Not much strict. No late coming,"Canteen. Bad food, too much travel time",Show more
5.0,2 Jul 2018,Love my job,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW21295887.htm,Anonymous contractor,Current contractor,,,,
3.0,15 Nov 2018,Adani,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW23430164.htm,Assistant,Current employee,,,,
5.0,10 Dec 2018,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW23779123.htm,Anonymous employee,"Current employee, less than 1 year","Mundra, Gujarat",,,
2.0,20 Sept 2020,Not good Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW36156121.htm,Assistant vice president fp&a,"Former employee, more than 1 year",Ahmedabad,,,
5.0,28 Apr 2021,Better Opportunity,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW46223651.htm,Mechanical engineering,Current employee,"Mundra, Gujarat","Skill Development
Growth Opportunity
Good Pay scale
Learning Opportunity",Looking for other job due to travelling for projects.,Show more
4.0,17 Jul 2019,Good place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW28088204.htm,Anonymous employee,Current employee,,,,
3.0,12 Apr 2021,Container terminal review,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW45369158.htm,Senior engineer,"Current employee, more than 1 year","Mundra, Gujarat","Township accommodation
Field work is more
Diversity","Work environment not suitable for some people
Work load is more",Show more
4.0,24 Jun 2021,Great company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW48847152.htm,Head security,"Current employee, more than 3 years",Hazira,"Great work environment 
Supportive management",5.5 days working day culture,Show more
5.0,11 Jan 2022,very good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW57726608.htm,Anonymous employee,"Current employee, more than 3 years",Surat,,,
3.0,18 Feb 2017,summer internship at Adani Ports,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW13843412.htm,Summer intern,"Former employee, less than 1 year",Surat,,,
5.0,5 Sept 2019,Working culture @ Adani,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW29039572.htm,Anonymous employee,Current employee,,,,
4.0,15 Jan 2021,Great work life balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW40755129.htm,Manager,"Current employee, more than 5 years",Ahmedabad,,,
2.0,31 May 2018,Ok to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW20824798.htm,Assistant manager,"Current employee, more than 1 year",Ahmedabad,No pressure in working here,Less learning while working here,Show more
4.0,4 Nov 2019,Great learning,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW30192929.htm,Intern,Former intern,New Delhi,"Very encouraging and supportive seniors 
Interesting project",Slowness in completion of the project,Show more
4.0,16 Jan 2021,NA,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW40824200.htm,Senior officer,Former employee,Surat,,,
5.0,29 Mar 2021,Environment Expert,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW44709008.htm,Environmental specialist,Current employee,Bhadrakh,Good place to work and learn.,Nothing bad about the company.,Show more
5.0,23 Aug 2021,-,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW51532295.htm,Senior officer,Current employee,Hazira,,,
3.0,12 Nov 2021,Mechanical/Maintenance Engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW55288676.htm,Mechanical/maintenance engineer,"Current employee, more than 5 years",Kutch,,,
4.0,27 Nov 2021,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW55906842.htm,Safety officer,Current employee,Vadodara,,,
4.0,12 Jan 2022,no career advancements,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW57837067.htm,Deputy manager,Current employee,,,,
