"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_reviewHelpfulCount__vhobW"
"2.0","30 Sept 2024","Don't consider joining","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91499112.htm","Specialist software engineer","Current employee, more than 5 years","Pune","- Induction program was good","- Before joining the organization I had cleared client interview and internal interviews then when i joined i was allocated to that account and in some days i got to know that the existing resource is got retained due to which i no longer required in the project so they release me on bench","Show more",""
"3.0","12 Oct 2024","Pros and Cons","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91872115.htm","Senoir software engineer","Current employee","Bengaluru","Salary on time,
WFH if BU agrees.","No Hike,
No Promotion.
Clueless Leadership from the organization.","Show more",""
"4.0","11 Oct 2024","Good worklife balance and opportunity to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91836321.htm","Engineer","Current employee","Bengaluru","","","",""
"4.0","11 Oct 2024","LTIMindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91844960.htm","Senior software engineer","Current employee","Pune","","","",""
"2.0","12 Oct 2024","Projects are not good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91862273.htm","Senior engineer","Current employee, more than 1 year","Pune","","","",""
"4.0","7 Oct 2024","One of the best company I have ever worked with","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91714770.htm","Senior engineer","Former contractor, less than 1 year","Hyderābād","Efficient: my manager was a person who uses energy or industry skillfully to get the desired results with little waste of effort","Not good for freshers as the base package will be kinda low for them","Show more",""
"4.0","10 Oct 2024","Good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91817965.htm","Specialist software engineer","Current employee, more than 1 year","Bhubaneshwar","In basis of prohects and work. It provides Good work life balance","Not good hike offered.
Llw bench Policy for common skill sets.","Show more",""
"4.0","11 Oct 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91856259.htm","Senior software developer","Current employee, more than 5 years","Calcutta","","","",""
"1.0","30 Jul 2024","Work Envrionment & poor management","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89646855.htm","Cloud infra specialist","Current employee, less than 1 year","Hyderābād","No Pros as such. Please be aware while joining this organisation.","They'll hire you for one position and later move you into a different role which you might be completely new to, the training part is worse. They'll give you training as if it's a school, complete 9hrs with just 1.30hr breaks all together. And here comes the worst part, whatever that have been taught during the entire day, trainer asks you to send an summary email at the EOD without missing a single point. And the next day, before the session starts he'll ask some questions and sometimes even humiliate engineers if unable to answer the questions and if we miss to add a point. Such a ridiculous trainer. And the Manager, they doesn't fit for the role not sure how come they are into that positions. HR's, they're Manager's puppet they'll do whatever Manager says. Most importantly, you'll not be valued for you efforts. In one of the catchup calls, there's a Manager who speaks like this, why you guys are not using the opportunity when MS is bringing everything to your table( the intention behind this is the engineers have to do overtime when the ticket count is high,so they'll pay accordingly).Yes, Money is important but not at the cost of your health. Your opinions will not be considered.","Show more","3"
"3.0","10 Oct 2024","Great company if you are a bit lucky","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91809682.htm","Quality engineer","Former employee, more than 1 year","Airoli","","","",""
"2.0","11 Oct 2024","Salary not upto mark","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91848568.htm","Junior engineer","Current employee, more than 3 years","Bengaluru","","","",""
