"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_reviewHelpfulCount__vhobW"
"5.0","10 Nov 2023","good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81713529.htm","Sap basis consultant","Current employee, more than 1 year","Mumbai","","","",""
"2.0","17 Oct 2023","Career Growth might get hampered","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81035672.htm","Senior software engineer","Current employee","Hyderābād","Take a Sick leave whenever you want","Corporate Politics is too high. Managers have too much power to choose your projects. No flexibility in terms of domain change.","Show more",""
"3.0","28 Jul 2023","Company technology wise bohot peeche hai","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW78652411.htm","Software engineer","Current employee, more than 1 year","","1) Workplace is nice and posh. Usually managers are supportive, but may not always be true. 2) Decent job security(May depend on your project though) 3) Good work life balance","1) Old technologies still in use, so no learning opportunities on latest techs. 2) Less salary and below average hikes. 3) If you stay here for more than 5 years you might miss out on a lot of latest technology trends.","Show more",""
"3.0","17 Nov 2023",".","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81913680.htm","Chief technology officer (cto)","Former employee, more than 10 years","Mumbai","","","",""
"2.0","18 Nov 2023","dsfs","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81920177.htm","Data engineer","Current employee, more than 1 year","Pune","","","",""
"5.0","15 Nov 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81829804.htm","Ios software developer","Current employee","Bengaluru","","","",""
"5.0","12 Oct 2023","Excellent place to work with lot of projects","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80897338.htm","Senior ux designer","Current employee, more than 3 years","Coimbatore","Lot of projects (long-term) Work in BFSI, eCommerce, Insurance etc.. Friendly management Supportive HR Learning Opportunities Shift Allowances Cabs Insurance","Nothing to day so far","Show more",""
"4.0","6 Nov 2023","Good Company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81574980.htm","Senior cloud engineer","Current employee, more than 1 year","Pune","","","",""
"4.0","30 Oct 2023","Good growth and opportunity","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81393000.htm","Full stack developer","Current employee","","","","",""
"2.0","30 May 2023","Boring culture not what is seen from outside","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW76931178.htm","Senior software engineer","Current employee, more than 1 year","Bengaluru","Hybrid mode work is only pros that i have come accross.","Laying off employees without any prior notice. Hr will schedule a meeting in the morning and when we connect to call she will directly ask us to put resignation on the same call. They would not give any time to think. They are showing as globally conquering immensely but no such thing is there internally. Zero support and unethical behaviour.","Show more","1"
"4.0","15 Nov 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81849408.htm","Software engineer","Former employee","Navi Mumbai","Good work environment
Good colleagues","Less salary as compared to market","Show more",""
"2.0","13 Nov 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81762335.htm","Software engineer","Former employee","","","","",""
"4.0","10 Nov 2023","Great Place","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81704272.htm","Technical specialist","Former employee, more than 3 years","Hyderābād","","","",""
"3.0","7 Nov 2023","Good place to work and stay","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81603421.htm","Senior data engineer","Current employee, more than 3 years","Pune","","","",""
"5.0","7 Nov 2023","Best in work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81606825.htm","Module lead","Former employee, more than 5 years","Bengaluru","","","",""
"5.0","4 Nov 2023","Good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81533249.htm","Senior quality engineer","Current employee, more than 1 year","Hyderābād","","","",""
"4.0","2 Nov 2023","Software Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81473623.htm","Software engineer","Former employee, more than 1 year","Navi Mumbai","","","",""
"3.0","30 Oct 2023","Review of LTIMindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81376455.htm","Senior software engineer","Current employee, more than 3 years","Bhubaneshwar","","","",""
"1.0","26 Dec 2023","Not employee friendly","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW82846412.htm","Data sxientist","Former employee","New Delhi","","","",""
"2.0","8 Nov 2023","senior software","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81670898.htm","Senior software engineer","Current employee, more than 3 years","Mumbai","","","",""
"4.0","9 Nov 2023","Great to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81676635.htm","Consultant","Current employee, more than 3 years","Mumbai","","","",""
"5.0","6 Nov 2023","Great working for LTIMindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81573574.htm","Specialist data engineer","Current employee, more than 1 year","Bangalore Rural","","","",""
"4.0","2 Nov 2023","Good place for learning, but pay very less","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81493710.htm","Senior engineer","Current employee, more than 1 year","Pune","","","",""
"3.0","27 Oct 2023","LTIMindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81332733.htm","Senior software engineer","Current employee, more than 3 years","Bangalore Rural","","","",""
"4.0","13 Oct 2023","Freshers are underpaid even after 2 yrs of experience","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80931269.htm","Sccm administrator","Current employee, more than 1 year","Pune","","","",""
"3.0","9 Nov 2023","Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81691581.htm","Engineer","Former employee, more than 1 year","Navi Mumbai","","","",""
"3.0","7 Nov 2023","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81609966.htm","Architect","Former employee, more than 1 year","","","","",""
"4.0","22 Oct 2023","Wonderful Growth oriented culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81171849.htm","Associate principal","Former employee, more than 3 years","Navi Mumbai","Amazing Culture and freedom to charter your own path.","Old hags from L&T will be the major stumbling blocks","Show more",""
"5.0","26 Oct 2023","Senior Software Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81285517.htm","Anonymous employee","Current employee, more than 3 years","","","","",""
"2.0","17 Apr 2023","Handed of to Client","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW75588336.htm","Senior software engineer","Current employee","","1. Work on latest technology. 2. On time salary","1. Employees are handed off to a client and are expected to deliver client's every requirement. 2. Managers are not part of the team, are unreachable and hence are not aware of day-to-day activities. They are only bothered about metrics. 3. HRs are only reachable during townhall meeting setup by them, which are once a year activity. 4. One needs to complete 2 years in current project before they are allowed to switch-to/apply-for another project. 5. Expect people to join your team with little to no experience with the project's required techstack.","Show more",""
"5.0","17 Oct 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81017062.htm","Senior software engineer","Current employee, more than 5 years","Navi Mumbai","1. Great supporting team 2. Work management is really great. 3. The work culture is great to manage work life balance.","Not any cons at this time","Show more",""
"3.0","17 Oct 2023","Not so good, not so bad","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81029593.htm","Specialist","Former employee","Noida","","","",""
"4.0","20 Oct 2023","Working culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81127465.htm","Specialist quality engineering","Current employee, more than 10 years","Navi Mumbai","","","",""
"4.0","23 Oct 2023","Great Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81204512.htm","Sap consultant","Former employee, more than 1 year","Hyderābād","","","",""
"4.0","24 Oct 2023","Good company to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81210330.htm","Technical lead","Current employee, more than 1 year","Bengaluru","","","",""
"3.0","6 Oct 2023","Good company but can't stay long","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80738796.htm","Software engineer","Current employee, more than 3 years","Chennai","","","",""
"2.0","7 Oct 2023","Managers are worst. No good projects","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80740923.htm","Senior data engineer","Current employee, less than 1 year","Mumbai","company is ok. infrastructure is good.","No projects. New joiners are not treated with respect. Leave policy not good. variable is paid every 6 months which is worst.","Show more","2"
"4.0","5 Nov 2023","Nice place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81563693.htm","Senior specialist","Current employee, more than 1 year","Mumbai","","","",""
"3.0","5 Nov 2023","great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81566121.htm","Software engineer","Current employee, more than 1 year","Hyderābād","","","",""
"5.0","22 Oct 2023","great company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81155937.htm","Software engineer","Current employee","Noida","company culture is great and advanced","i didn’t find any negatives about the company","Show more",""
"3.0","31 Oct 2023","review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81411098.htm","Anonymous employee","Current employee, more than 1 year","","","","",""
"1.0","19 Dec 2023","Bad Policies","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW82734433.htm","Software engineer","Current employee, more than 1 year","Pune","","","",""
"4.0","7 Nov 2023","GOOD to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81602476.htm","Software engineer","Former employee, more than 1 year","Chennai","","","",""
"4.0","7 Nov 2023","Healthy work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81605620.htm","Anonymous employee","Current employee, more than 8 years","","","","",""
"3.0","19 Oct 2023","Good Company for work life balance. Nothing new to learn. Lot of politics for positions.","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81110538.htm","Qa lead","Current employee, more than 1 year","Navi Mumbai","","","",""
"4.0","23 Oct 2023","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81176017.htm","Associate principle","Current employee, more than 10 years","Pune","","","",""
"4.0","1 Nov 2023","best for the freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81442817.htm","Aws devops engineer","Current intern, less than 1 year","Pune","","","",""
"5.0","1 Nov 2023","Good work place","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81456418.htm","Senior engineer","Former employee, more than 1 year","Hyderābād","","","",""
"4.0","6 Oct 2023","LTIMindree - How I feel about my company after 2yrs","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80726651.htm","Technology consultant","Current employee, more than 1 year","Navi Mumbai","The reason you can consider working here: - Flexible Work Persona. 2days WFO, 3days WFH - BU specific Upskilling opportunities","Some cons - Slow growth","Show more",""
"4.0","31 Oct 2023","Overall review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81412646.htm","Senior software engineer","Former employee, more than 3 years","Calcutta","","","",""
"2.0","30 May 2023","Not an employee friendly company to work on","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW76911562.htm","Senior engineer","Former employee, more than 1 year","Bengaluru","Work life balance, No weekend support for some projects","1. Low salary 2. Micro-management is at peak 3. Support project 4. Less hike 5. Career growth is less Too much of micro management, even the attendance is taken from office swipe-in. In our project, reporting manager thinks he is God. Project managers only pleases customer and there is a gap between onshore/offshore work deligations. Only work is to support no personal or professional growth. No team building activity. No mentorship. Integration with L&T is the worst thing happened recently. Office hour policy, leave request and leave policy has worsened after integration.","Show more",""
"3.0","30 Aug 2023","No work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW79623019.htm","Senior engineer","Current employee, more than 1 year","","Good offer package they will offer","Minimum 3 days sick leave, no single day sick leave. Annual hike is not much. Sir/Mam culture. Appraisal won't be on the basis of performance. Swipe in and out time for ODC. Won't understand your situation or emergency their rules and policies are rigid.","Show more",""
"4.0","7 Nov 2023","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81610818.htm","Senior business analyst","Current employee","Chennai","","","",""
"4.0","3 Nov 2023","Mindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81527354.htm","Anonymous employee","Former employee, less than 1 year","Bangalore Rural","","","",""
"3.0","22 Oct 2023","My experience at ltimindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81163384.htm","Senior software engineer","Current employee, more than 3 years","Bengaluru","","","",""
"4.0","25 Oct 2023","Great Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81278596.htm","Principal director","Current employee, more than 10 years","Pune","","","",""
"4.0","25 Oct 2023","Good projects","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81278649.htm","Senior software engineer","Current employee, more than 1 year","Noida","Good projects , good team , good managers.","Increment is very slow after a year end.","Show more",""
"3.0","16 Sept 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80135400.htm","Associate director","Current employee","","The company provides onsite opportunities to employees, which allows them to work closely with clients and gain valuable experience. Job security is high and there are plenty of opportunities for career growth and advancement.","The work environment is often very demanding and can be stressful. Poor HR","Show more",""
"4.0","10 Nov 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81728398.htm","Software engineer","Current employee, more than 1 year","Airoli","","","",""
"1.0","5 Jul 2023","Pathetic company after merger | Never join here","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW77988610.htm","Senior software engineer","Current employee, more than 5 years","Pune","Medical policy is good. Salary on time.","Pathetic bench policy. Previously it was 3 months now its 2 months. If you didnt get ang project in this duration immediately they will fire you, will not allow to server notice period as well. In starting will give a offer you cannot say no. No appraisal and hike after joining. People dont know how to talk. No relocation, internet phone reimbursement policy.","Show more","2"
"5.0","5 Nov 2023","best employer ever","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81552062.htm","Software engineer","Current employee, more than 1 year","Bengaluru","","","",""
"4.0","29 Oct 2023","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81365063.htm","Sap consultant","Former employee, less than 1 year","Mumbai","","","",""
"4.0","30 Oct 2023","Great work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81405821.htm","Senior consultant","Current employee, more than 1 year","Hyderābād","","","",""
"4.0","27 Oct 2023","Stress free ,Comfort,good Management","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81342107.htm","Senior sap consultant","Current employee, more than 3 years","Mumbai","","","",""
"2.0","10 Oct 2023","Worst place to work after merger","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80824517.htm","Data engineer","Current employee, more than 3 years","Chennai","","","","2"
"5.0","11 Oct 2023","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80850140.htm","Sr. software engineer","Former employee, more than 5 years","Mumbai","","","",""
"4.0","7 Nov 2023","Great company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81621084.htm","Senior software engineer","Former employee, more than 5 years","Mumbai","","","",""
"3.0","17 Oct 2023","Great place to learn but no hike","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81020349.htm","Senior software developer","Current employee, more than 1 year","Chennai","","","",""
"3.0","18 Oct 2023","LTIMindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81040754.htm","Specialist - cloud engineering","Former employee","Pune","","","","1"
"2.0","24 Oct 2023","the intern covered subjects of programming languages like java, python and their frameworks, sql","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81208368.htm","Data engineer","Current intern, less than 1 year","Chennai","","","",""
"4.0","30 Oct 2023","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81380065.htm","Senior qa engineer","Former employee, more than 3 years","Bengaluru","","","",""
"5.0","5 Nov 2023","Great company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81565323.htm","Data engineer","Former employee, more than 8 years","","","","",""
"3.0","6 Nov 2023","Low pay","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81567666.htm","Cloud engineer","Current employee","Bengaluru","","","",""
"4.0","5 Nov 2023","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81564399.htm","Senior associate","Current employee, more than 1 year","Chennai","","","",""
"3.0","2 Nov 2023","Salaries","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81483309.htm","Test engineer","Current employee, more than 1 year","Bengaluru","","","",""
"4.0","30 Oct 2023","Good culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81398157.htm","Senior engineer","Current employee, more than 3 years","Bengaluru","Good work culture Understanding employee","Less pay Lesser recognition Difficulty in promotions","Show more",""
"4.0","28 Aug 2023","LTIMindtree experience as a fresher","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW79536566.htm","Software engineer","Current employee, more than 1 year","Mumbai","Great work culture Free evening snacks Involvement in various activities Can resign easily . HR doesn't stops anyone for personal growth.","Appraisals are a bit low but still its okay . Changing of project is a bit difficult since they dont allow so easily to leave a client's project and allocate to other.","Show more",""
"5.0","15 Jun 2023","Awesome Company to Work with lot of learning opportunities","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW77412341.htm","Jde functional consultant","Current employee, more than 1 year","Pune","Cross Skill in Various Technologies like Microsoft Dynamics, AWS Certification and Oracle Cloud, IBM, Google Cloud etc Great supporting Senior Management and Team Leaders which give us proper feedback to improve Free Dinner and Evening Snacks Free Drop Cab Service Great Work Life Balance Free Gym and Indoor Games HR Organises great events and Townhall to engage employees Open Door Policy Fast payroll services and shift allowance are given as per shift timings 200for day shift and 375 for night shift projects","Nothing as Such everything is 😊 good","Show more",""
"5.0","30 Aug 2023","Work life balance and carrier growth for learning new technology","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW79642069.htm","Qa engineer","Current employee, more than 3 years","Bangalore Rural","Good company for freshers paid good package","There is no hike on 2023 There is no permotion There is good salary structure for 2023 year Before merging to LTI, mindtree was good company There is no proper clients who can take you in there projects","Show more",""
"3.0","30 Sept 2023","Overall an average company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80543376.htm","Business and data analyst","Former employee, more than 1 year","","1)Brand name 2)Good Clients 3)Good opportunities 4)Descent Job stability","1)Poor pay and poor appraisals 2)Now they have merged with Mindtree so lot of cheos within company 3)No Perks 4)No onsite 5)Job security is average","Show more",""
"4.0","10 Aug 2023","Sr. Specialist","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW79035559.htm","Sr. specialst - program & project management","Current employee, more than 1 year","Pune","LTIM places a strong emphasis on innovation and staying at the forefront of technology trends. They invest in research and development to develop cutting-edge solutions and leverage emerging technologies such as artificial intelligence, machine learning, and blockchain. This focus on innovation can help clients stay competitive and drive digital transformation within their organizations.","Compensation is not up to the mark.","Show more",""
"3.0","14 Oct 2023","Decent Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80940875.htm","Senior consultant","Current employee","","","","",""
"4.0","14 Oct 2023","Good Benefits and Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80939952.htm","Specialist software engineer","Current employee, more than 3 years","Chennai","","","",""
"3.0","8 Nov 2023","Nice company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81637840.htm","Manager","Current employee, more than 1 year","New Delhi","","","",""
"2.0","20 Oct 2023","Security","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81129649.htm","Specialist","Former employee, more than 1 year","Pune","1 Free meal for odd shifts Hybrid mode leaves","No Transportation Not much projects","Show more",""
"3.0","26 Oct 2023","LTI policies has changed","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81297160.htm","Senior manager","Current employee, more than 8 years","Bengaluru","","","",""
"4.0","6 Nov 2023",".","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81571601.htm","Software engineer","Current employee, more than 1 year","","","","",""
"3.0","2 Nov 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81491819.htm","Team leader","Former employee","","","","",""
"1.0","12 Dec 2023","Worst first company not to join","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW82520255.htm","Cloudops engineer","Current employee","Bengaluru","","","",""
"4.0","30 Oct 2023","AWS Cloud certified DevOps Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81392325.htm","Devops engineer","Current employee, more than 3 years","Bengaluru","","","",""
"3.0","27 Oct 2023","Good Overall","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81325867.htm","Anonymous employee","Current employee","","","","",""
"2.0","16 Oct 2023","Worst for freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80996495.htm","Jr c&i engineer","Current employee, more than 3 years","Hyderābād","Training & mentors are good","Worst management, HRs, & policies after LTI & MTD merge","Show more",""
"4.0","7 Nov 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81606242.htm","Senior consultatnt","Former employee, more than 5 years","Pune","","","",""
"3.0","3 Nov 2023","Not Big Payers","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81520347.htm","Specialist data engineer","Current employee, more than 3 years","Bengaluru","","","",""
"4.0","3 Nov 2023","Perfectly balanced","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81532855.htm","Specialist consultant","Current employee","","","","",""
"4.0","25 Oct 2023","it's good company for fresher","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81262298.htm","Software engineer","Current employee, less than 1 year","Pune","","","",""
"1.0","23 Nov 2023","Another Indian MNC","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW82043288.htm","Consultant- package implementation","Current employee, more than 1 year","Bengaluru","","","",""
"3.0","17 Oct 2023","It is an average experience","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81014834.htm","Senior data engineer","Current employee, more than 1 year","Hyderābād","","","",""
"5.0","18 Oct 2023","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81041794.htm","It consultant","Current employee, more than 3 years","Powai, Maharashtra","Good Pay, Good Environment, good work life balance","average increment, no as such cons","Show more","1"
"4.0","1 Nov 2023",".","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81457362.htm","Senior software engineer","Current employee, more than 3 years","Bengaluru","","","",""
"4.0","29 Oct 2023","Good Environment","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81366283.htm","Senior software engineer (sde3)","Current employee","","","","",""
"3.0","30 Oct 2023","Great place","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81376128.htm","Graduate engineer trainee","Current employee, less than 1 year","Bengaluru","","","",""
"3.0","22 Sept 2023","Merger started killing the happiness of the employee","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80330165.htm","Azure devops engineer","Current employee, more than 1 year","Pune","Before the LTI merger, Mindtree used to be an employee-centric company that used to care for its employees.","Everything is cons only. Nothing good here.","Show more",""
"4.0","18 Oct 2023","Great company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81059237.htm","Team manager","Current employee, more than 1 year","Pune","Great place to work Work culture is good","Salary is a concern increment is a concern","Show more",""
"5.0","24 Oct 2023","Good Company to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81241674.htm","Sse testing","Current employee","Bangalore Rural","","","",""
"4.0","30 Oct 2023","very nice company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81386095.htm","Software engineer","Current employee, more than 1 year","Pune","","","",""
"4.0","30 Oct 2023","Good for exposure","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81409714.htm","Consultant- package implementation","Current employee, more than 1 year","Pune","","","",""
"5.0","27 Oct 2023","Software Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81325441.htm","Senior software engineer","Former employee, more than 1 year","Hyderābād","","","",""
"5.0","23 Oct 2023","nice atmosphere","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81174050.htm","Excutives","Current intern, more than 1 year","Mumbai","Very Nice atmosphere and Great work culture and people","No, problem All employees are great","Show more",""
"5.0","1 Nov 2023","good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81442565.htm","Senior software engineer","Current employee, more than 1 year","Mumbai","","","",""
"4.0","1 Nov 2023","good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81441806.htm","Software engineer","Current employee, more than 1 year","Chennai","","","",""
"2.0","1 Nov 2023","Ok okay salary","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81448669.htm","Associate principal scientist","Current employee, more than 1 year","Bengaluru","","","",""
"4.0","1 Nov 2023","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81446398.htm","Cloud engineer","Current employee, more than 1 year","Chennai","","","",""
"3.0","26 Oct 2023","Cloud engineer works on AZURE Devops","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81290139.htm","Cloud engineer","Former employee, more than 1 year","Hyderābād","","","",""
"4.0","15 Oct 2023","good place to work and can learn many new things if placed into good project.","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80950972.htm","Module lead","Current employee, more than 1 year","Hyderābād","","","",""
"4.0","2 Nov 2023","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81474493.htm","Module lead","Current employee, more than 10 years","Pune","","","",""
"4.0","2 Nov 2023","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81478541.htm","Specialist software engineer","Current employee","Pune","","","",""
"3.0","30 Oct 2023","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81375651.htm","Senior software engineer","Current employee, more than 1 year","Chennai","","","",""
"4.0","31 Oct 2023","Overall good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81418388.htm","It specialitst","Current employee","","","","",""
"4.0","31 Oct 2023","About Role","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW81418881.htm","Graduate engineer trainee","Current employee","Bengaluru","","","",""
"3.0","20 Sept 2023","No more employee friendly after merge","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW80264690.htm","Senior engineer","Former employee, more than 3 years","Bengaluru","was good when Mindtree was alone.","=> Micro Management => Those who planned to go for higher studies on sabbatical leave, better resign and leave. no opportunities on-site.","Show more",""
