"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","24 Dec 2017","Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW18464151.htm","Anonymous employee","Current employee","","","","Good company to work with, Employee friendly.","Dosent find any cons in the company.","Show more"
"4.0","18 Jan 2018","Nice organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW18794800.htm","Anonymous employee","Current employee","Mumbai","","","Lots of learning under one roof","Too much work is expected to execute","Show more"
"5.0","4 Feb 2019","Nice experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW24538372.htm","Anonymous intern","Former intern","","Employee Friendly , nice seniors to guide you","dont know as of know","","",""
"5.0","23 Feb 2019","Territory Sales Officer","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW24843360.htm","Anonymous employee","Current employee","","Ownership Multitasking Supportive Management Incentives Team management","Nothing as such. Very satisfied.","","",""
"5.0","7 Jun 2020","About Marico","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW33563485.htm","Research and development","Current employee","Mumbai","Supportive, Innovative, excellence, global outlook, Care for employees","I don’t know the drawbacks","","",""
"4.0","16 Jul 2020","marico","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW34256644.htm","Anonymous employee","Current employee","Kolhāpur, Maharashtra","","","good to work with the company","delay in monthly payments but is fine","Show more"
"5.0","20 Sept 2020","Best place to work at","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW36158810.htm","Anonymous employee","Former employee","","Best place to work at","No cons in my opinion","","",""
"4.0","15 Oct 2020","Overall good expeirence","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW37170995.htm","Sales trainee","Former contractor, less than 1 year","Bengaluru","Fast-paced. Growth opportunities, Good pay","Worklife balance, Too many targets, No off weekends","","",""
"4.0","26 Nov 2020","Good Company Learn and Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW38760997.htm","Senior tse","Former employee, more than 5 years","Bengaluru","Good Learning, Exposure, Support from Management,","here very Slow hierarchy growth,","","",""
"4.0","23 Dec 2020","Nice place","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW39757597.htm","Business finance manager","Current employee","Kol","Caring culture employee friendly etc","Stressful sometimes and can be difficult on work life","","",""
