"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","20 Oct 2022","PERECT","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW70344796.htm","Deputy manager","Current employee","Its a government job, all in best that part","nothing other than a govt job culture","","","",""
"3.0","10 Oct 2022","Coal india","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW69977288.htm","Deputy manager","Current employee, more than 5 years","Govt job and largest coal company in country","Difficult and need continues motivation to work .","","","",""
"5.0","3 Jun 2022","The biggest Public Sector Enterprise in the world","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW65054298.htm","Audit administrative","Former employee","","","","One of the top coal producing companies of the world. Coal is extracted from opencast as well as underground coal mines. This is the major source of energy in India.","Coal reserves need to be explored and all mechanised methods should be adopted for its maximum extraction.","Show more"
"3.0","23 Sept 2022","Stable job","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW69393100.htm","Dy manager","Current employee, more than 8 years","","","Rāmgarh, Jharkhand","Job security
Good pay package
Work life balance","Remote location
Office politics
No city life","Show more"
"5.0","16 Sept 2022","Nice experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW69125419.htm","Internship","Former intern, less than 1 year","Great work culture and good behaviour of employees","Nothing as such but only connectivity issues","Singrauli","","",""
"5.0","19 Sept 2022","Government job","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW69231856.htm","Anonymous employee","Current employee, more than 1 year","","","","Salary
Work life balance
Peace of mind
Health benefits
Perks
 Allowances","Remote location
Physical strength
Emergency situation
Repetitive work
Transfers","Show more"
"3.0","14 Sept 2022","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW69058650.htm","Deputy manager","Current employee, more than 5 years","good work culture and pay","bad location and less growth","","","",""
"2.0","8 Jul 2022","Be Ready to work in remote areas","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW66448999.htm","Management trainee","Current employee, more than 1 year","","","Āsansol, West Bengal","Work life balance
Good paying
 Lot of time to chill
Not Many challenges","Remote work locations
Ancient Management culture","Show more"
"2.0","29 Aug 2022","Coal India Internship","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW68451457.htm","Anonymous intern","Current intern, less than 1 year","learnt working of different transformers and motors.","It was unpaid and not practical.","","","",""
"4.0","15 Aug 2022","Coal India job review","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW67921269.htm","General manager","Former employee","Work culture and job security. Good pay package","Hard Work ,remote postings and slow growth","","","",""
"1.0","17 Aug 2022","Poor work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW68007135.htm","Anonymous employee","Former employee, more than 3 years","","","Bilāspur, Chhattisgarh","You get ample of time to study.","Poor Work Culture
Monotonous Job
Poor carrer policy of non-executives
No career growth 
Limited internal exams - once in 5 year
Wait for Nationalised exams","Show more"
