review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
3.0,5 Sept 2024,No work life balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90748704.htm,Collection manager,"Current employee, more than 1 year","Chākia, Bihar",,,
4.0,10 Sept 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90867900.htm,Sotware engineer,Current employee,Pune,"Good
Product based 
Skill enhancement",Tough coding exam not proper explanation of code,Show more
5.0,3 Sept 2024,5/5 Go For It,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90659885.htm,Gylp associate,Current employee,Pune,,,
1.0,9 May 2024,"Very Bad Work Culture, No Work Life Balance, Very Bad Management",https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW87123591.htm,Sr lead ux designer,"Former employee, more than 5 years",Pune,"1. Car and Bike policy (which make sure that employee is not going away at least for 5 years 😂)
2. Current employees are leaving company that's the only reason there are more new openings.
3. If you are resigning then only your voices are heard. (Take WFHs on Saturday, take WFH for month these are some suggestions by HR team but not before resignation)
4. 9 am to 6 pm, No work after 6 pm","1. All Saturdays are working (very Hectic)
2. Design team lead by person with no design background biggest LOL😂 (No experience in design/ Design process)
3. Designers throw your brain and just copy AMAZON (this was is instruction by senior leaders #actual_words)
4. Bajaj site and amazon sites are going to look exactly same. (At leat last designs I saw when I was in Bajaj)",Show more
4.0,28 Aug 2024,Idea generate environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90521906.htm,Deputy manager,"Former employee, more than 1 year",Pune,"1. Great work life balance.
2. Team building/ Team work.
3. Supportive Managers / No favouritism.","1. Low to moderate salary.
2. Slow pace environment.
3. Routine work task.",Show more
5.0,2 Sept 2024,It's good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90635602.htm,Sales manager,"Current employee, less than 1 year","Bijāpur, Karnataka",Speed process No 1 NBFC,"Employee friendly, quick action, customer friendly",Show more
3.0,2 Sept 2024,Excellent company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90632473.htm,Product manager,"Current employee, more than 1 year","Salem, Tamil Nadu",,,
3.0,1 Sept 2024,Ux writer,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90614298.htm,Ux writer,Former employee,Pune,Growth is good in the company,Every Sat working is there,Show more
3.0,4 Sept 2024,Nothing much,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90707706.htm,Software enginner,Current employee,Pune,Nothing really except quaterly incentive,"Work culture
work timings
no flexibilty",Show more
3.0,4 Sept 2024,Feedback,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90726321.htm,Manager,"Current employee, more than 1 year",Pune,,,
4.0,27 Aug 2024,it is a good experiance,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90451292.htm,Anonymous employee,"Current employee, less than 1 year",,,,
4.0,24 Aug 2024,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90377437.htm,Data scientist,"Current employee, less than 1 year","Patna, Bihar","was good for both internhip and oterwisw. nice place o work , bu t not much fun. Life is good in this company.",salary ower than industry average,Show more
3.0,25 Aug 2024,Good for freshers,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90393075.htm,Technical support engineer,Current contractor,,Great entry level job opening for freshers,Refrance culture ruins the hardwork.,Show more
5.0,31 Aug 2024,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90590140.htm,Sme sales,"Former contractor, more than 8 years",Hyderābād,"No earning limit
Learning new knowledge",Have sacrifice all things no personal life,Show more
