review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
3.0,24 Sept 2019,Great place to learn but no work life balance.,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW29428537.htm,Market research manager,"Former employee, more than 3 years",Ahmedabad,"Good learning exposure, you will be pushed to your limit which will help you to survive any pressure situation in work environment, benefits are good.","No work life balance, very top to bottom organisational structure, the task deadlines are sometimes very unrealistic, which will force to work you beyond your office hours..",Show more,,
4.0,30 Dec 2021,Mechanical maintenance department one year review,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW57236313.htm,Senior engineer,"Current employee, less than 1 year",,"1. Abundance of machinery & equipment to learn.
2. Freedom to learn the process before rushing into roles.
3. Man-power management skill-set will be built from the first day. 
4. Department parties & friendly seniors.","1. Work timings will take a toll on your side hustles ( exam studies, business development, sports etc). 
2. ""Sir Culture"" and a few fragile egos. 
3. LESS SALARY FOR FRESHERS!",Show more,,
2.0,27 Aug 2021,"Very remote, No Work Life Balance, Not a very healthy atmosphere, Won't get the value you deserve",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW51719886.htm,Senior engineer,Current employee,Tirora,"Most of the seniors are good in nature
HR is quite cooperative
Great place to start if looking to work in power plant
Gym and sports facilities","Some of the seniors are too much arrogant
Too many deductions in salary
Way too remote location practically in village
No Work Life Balance
No Social Life
You are totally separated from the outer world",Show more,,
4.0,6 Aug 2012,Quick Learning,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW1814471.htm,Assistant manager,"Current employee, more than 1 year",Ahmedabad,"Quick Learning, No hierarchical barriers for person who is ready to take ownership","Hectic Schedule, Long working hours.",Show more,,
4.0,15 Nov 2014,Good place to learn a lot,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW5383754.htm,Engineer,"Current employee, more than 5 years","Mundra, Gujarat","1. Opportunity to learn
2. Work environment
3. Salary package (if you are joining as an experienced professional)","1. Salary ( if you joined Adani as career's first        job)
2.Below average employee satisfaction
3. Remote locations( not for everyone)",Show more,,
2.0,21 May 2012,"Adani power, a big name but no work-life balance",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW1526319.htm,Mechanical engineer,Current employee,"Mundra, Gujarat","Big name,surely you get better offers whule switching
Learning opportunity is best
Transportation facility is good
Job security trmendous","Compensation and incentive is very bad especially to trainees
Remote place, less infrastructure, bad medical facility
Living place is not developed
Retention time is less, Attrition more, HRM is doing nothing to stop it
Over work loading to O&M",Show more,,
4.0,27 Dec 2018,"Ok, lots of procedures but if you sustain u win",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW23970431.htm,Assistant manager,"Current employee, more than 3 years",Udupi,"Ok, lots of procedures but if you sustain u win. It takes 6months to understand the hectic speed, endless trainings but if u can see through then there is scope for tremendous growth.","Work life balance amiss sometimes..work gets lost in procedures sometimes,",Show more,,
3.0,25 Oct 2018,"Being a Fresher and GET , has lot to learn initially and get broad lookout of market in India about Power sector.",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW23119798.htm,Senior project engineer,"Current employee, more than 3 years",Ahmedabad,Specific task and work is allotted to get expertise.,Sometimes you'll feel that work you doing is not worth the capabilities you have.,Show more,,
4.0,5 Nov 2017,Assistant Manager Substation,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW17732976.htm,Anonymous employee,"Current employee, more than 3 years",Ahmedabad,It has biggest project line and extensive exposure to power projects. Fast growth and best salary structure and medical benefits. Hard bound to time line and quality of work.,Very less guidance on working with structure design. All management work and its really competitive environment.,Show more,,
4.0,7 Sept 2018,Good Work-Life Balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW22367105.htm,Intern,"Former intern, less than 1 year",Tirora,"Focus is given to overall quality of life.
Very good culture with respect to knowledge transfer and managing tasks.
Residential society is equipped with many facilities.","Power plants usually are located far away from commonplace settlements.
Adani provides fantastic accommodation, but it can become boring as the nearest urban cities can be as much as 100 kilometres away.",Show more,,
