"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"3.0","13 Dec 2021","good could be better","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW56604065.htm","Medical sales representative","Current employee, more than 3 years","","","","there is a work life balance 
provision of adequate training to excel at the job","remuneration is poor and not at par with market rates
management communicate poorly","Show more"
"5.0","15 Nov 2017","Maintenance Technician","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW17912003.htm","Nuclear engineer","Former employee, less than 1 year","Seoul","","","New friends, challenging environment, exploring new ideas,teamwork, experiencing new things","Limitation in working life,can't promote to certain level","Show more"
"4.0","28 Nov 2018","Sun Family","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW23606338.htm","Anonymous contractor","Current contractor, more than 1 year","Princeton, NJ","","","Sun is an exciting, fast pace, and demanding place to work. Our team works together and feels like a family!","Company information is slow to trickle down.","Show more"
"5.0","25 Mar 2019","Performance Management","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW25334129.htm","Asm (area sales manager)","Former employee, more than 8 years","Akure","","","Multinational with multicultural set of people.
Prompt salary","Deadline Driven, focused, welfare, administrative and HR issues","Show more"
"4.0","5 Jun 2018","R&D Intern","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW20898319.htm","Anonymous intern","Former intern","","Good work environment. Employees have a lot of experience so it's great to learn from them.","Some days have long working hours.","","",""
"1.0","7 Feb 2020","Unprofessional","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW31750249.htm","Administrative assistant","Former employee, more than 10 years","Princeton, NJ","","","Decent pay, co-workers were good.","No respect for employees.
Lack of communication.
CEO incredibly arrogant & egotistical (in general & towards employees).
Back-stabbing.
Work-life balance??? What's that???
They don't value good employees.
Business strategy based entirely on whether the CEO thinks  something will place him higher on the list of richest people in India.
Micro-management.
High turnover.","Show more"
"3.0","23 Jan 2021","Good to work at but lacks innocation","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW41303976.htm","Research scientist","Former intern, more than 1 year","New Brunswick, NJ","People are great to work with. The CEO is one of the best people to talk to.","No cafeteria to buy food","","",""
"4.0","26 Jun 2012","great experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW1650721.htm","Qa officer","Current employee, less than 1 year","","To learn  to work in   a team , learn new technologies","time span of work has no limit","","",""
"3.0","21 Dec 2014","My eight years experience was very interesting","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW5573519.htm","Machine operator","Former employee","Detroit, MI","","","The money was very good","They didn't offer advancement within the company","Show more"
"3.0","10 Jan 2019","Average kind of org","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW24142044.htm","Anonymous employee","Current employee","","","","It all depends upon your team leader","Policies are not good,
Environment is also not good","Show more"
"3.0","31 Oct 2020","Horrible at setting goals","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW37847521.htm","Territory sales manager","Former employee","Lexington-Fayette, KY","No pros for the organization.","Leadership does not set realistic goals. Clearly does not want pay full bonuses.","","",""
"3.0","9 May 2017","Sales representative","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW14981224.htm","Outside sales representative","Former employee, more than 3 years","","Company seems to be poised for growth.  Focus on different specialties is a plus.","Sales is not respected in terms of salary and IC","","",""
"3.0","5 Apr 2019","Sales Rep","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW25533961.htm","Anonymous employee","Current employee, more than 3 years","","Enjoyed my direct managers.  Coworkers were very good.","Company did not respect employees.  Didn't have a clear vision or plan to be successful.","","",""
"3.0","24 Jun 2010","It was ok.","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW543812.htm","Anonymous employee","Former employee","","","","It was nice to work there.","It wasn't always so nice to work there.","Show more"
"4.0","28 Aug 2016","qc chemist","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW11716154.htm","Anonymous employee","Former employee","Rocky Mount, NC","good working environment compare to other companies","good working environ ment but management is ok","","",""
