review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
4.0,22 Apr 2021,Overall a Good Company for RnD.,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW45906793.htm,Assistant manager,"Former employee, more than 3 years",Pune,"Great Infrastructure, takes good care and provides good training to graduate trainees, Great testing amenities at RnD.","RnD is pretty well established, hence chances of promotion are a little less at the moment.",Show more,,
5.0,15 Sept 2021,Work environment is good.,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW52579098.htm,Workshop manager,Current employee,Mahbubnagar,"Good guidance.
Gain good technical knowledge
Training are good","Not conduct meetings.
Appreciation is poor
Gifts are not given",Show more,,
4.0,15 Sept 2015,good work,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW7952527.htm,Anonymous employee,Former employee,Pune,The bajaj campus offers lot of facilities and the job comes with several perks including free food and transport,the overall area is a bit boring with not too many young people around,Show more,,
5.0,9 Sept 2018,Diploma  Trainee  engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW22386534.htm,Diploma trainee engineer,"Former employee, more than 1 year",Chākan,Bajaj is a reputed  company. There environment  is comfortable  for work,There is no downside for work.,Show more,,
4.0,7 Feb 2019,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW24581961.htm,Service supervisor,"Current employee, less than 1 year",Hyderābād,Best working area and salary is also good,It's not easy to get a job in BAJAJ AUTO LTD.,Show more,,
4.0,17 Jul 2020,Work with as own company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW34289868.htm,Production supervisor,"Current employee, more than 3 years",Chennai,Environmental it's the best place for working & studying . Bajaj it's like a environmental work place,My challenge it's like delivery the good product for our customers,Show more,,
1.0,6 Jul 2021,Not the company for long term growth and happiness,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW49387936.htm,Sales,Former employee,,Supportive peers within the job function,"Lazy and non responsive HRs
Non transparent performance rating system
Unprofessional senior managers
Long working hours
No work life balance
Limited growth opportunities
Unnecessary stress",Show more,,
5.0,9 Aug 2021,Product and marketing,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW50861830.htm,Assistant manager-product and marketing,"Current employee, more than 3 years",Pune,"Good work life balance
Moderate work pressure, good work timings
Breakfast and lunch included
Bus service available","Slow growth and promotions, company is still dependant on a lot of manual methods
So the work is slower",Show more,,
3.0,19 Jan 2016,Area Sales Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW9246750.htm,Area manager,"Former employee, more than 1 year",Hyderābād,"Transparent company, has ethical values and employee friendly.","Work culture is of a typical Maharashtra company , Old school methods of getting the job done.",Show more,,
3.0,2 Sept 2016,BAJAJ FEEDBACK,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW11780221.htm,Senior engineer,Former employee,Pune,"Knowledge enhancement, very good projects, location is very good (PUNE), they give a hostel to stay and lunch and dinner is also provided","working environment not good, laborious task and taking a leave is a problem",Show more,,
4.0,20 Mar 2020,One of the  best in automotive sector,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW32436535.htm,Graduate engineer trainee,"Current employee, more than 1 year",Pune,Exposure to practical problems  in automobile engineering and freedom to take decisions fully backed by  higher officials,The management team is poor unlike the technical  team,Show more,,
5.0,15 Nov 2016,Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW12677588.htm,Engineer,"Current employee, less than 1 year",Pune,Excellent R and D department,"None as of now as I am new here .
Will update as i find them !",Show more,,
4.0,15 Nov 2018,"Good company , take experience and switch it",https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW23430327.htm,Line engineer,"Current employee, more than 8 years",Pune,"Good environment
Bus facility
Canteen
Clean
Everything in time

Good work to manager levels and good wages to management",Hard work at line,Show more,,
5.0,15 May 2020,Diffnitely for male,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW33199788.htm,Anonymous employee,"Former employee, more than 5 years",Anyāna,Easy to maintain the vichcle because good mechanism for Bajaj company motorcycles,For Bajaj company is good income in my state max people are driving Bajaj motorcycle,Show more,,
4.0,17 Aug 2021,Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW51227088.htm,Manager,"Current employee, more than 3 years",Pune,"Great work place 
No politics
Great canteen and food
Clean environment
Peaceful at work
No long hours
Holidays available easily","Indecisiveness by top management
No cab service 
Slow career growth
Very less travel opportunities
Low on Global Exposure
Less exposure to Automotive Design Shows",Show more,,
4.0,3 Dec 2021,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW56177227.htm,Anonymous intern,Former intern,,Flexibile work. Good culture. Work life balance. International Projects. New ideas are welcomed,It's a little dull sometimes in terms of the new age activities and does not believe in motivating through group arrangements,Show more,,
5.0,10 Jan 2022,Great Place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW57720018.htm,Anonymous employee,Former employee,,"Strong R&D Focus
Great culture for a GTE to enter (Akurdi)",Little slower in terms of work and response | Can certainly be improved to allow fast pace work like a startup,Show more,,
4.0,19 Mar 2019,Bajaj Auto Ltd. - One of the top 10 business houses in India,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW25232470.htm,Senior manager,"Former employee, more than 10 years",Pune,"Product focused, well managed, one of the top companies",The company is too much internally focused,Show more,,
4.0,3 Sept 2019,Bajaj Auto Ltd Experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW28995752.htm,Manager,"Current employee, more than 8 years",,"1. You will get responsibility & authority to work.

2. Open office concept. Seniors are easily approachable.",1. Old working  mindset.  Stressful working environment.,Show more,,
4.0,23 Jun 2020,This is very wrong way glass door for giving a little information,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW33849601.htm,Marketing,"Former contractor, less than 1 year","Jaipur, Rajasthan",Glassdoor have long process to give a few information,No I don't know the cons because I was on off role,Show more,,
