"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"3.0","7 Nov 2018","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW23306887.htm","Assistant general manager","Former employee","Mumbai","It's a good company to work","The pay is somewhat good"
"4.0","16 Nov 2019","GET","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW30412632.htm","Anonymous employee","Former employee","","Good work culture, training methodologies","Plant Location, lost initial salary"
"4.0","20 May 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW47227687.htm","Apprenticeship","Former employee","","Got many things to learn","Should work for less earnings"
"4.0","8 Oct 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW53713071.htm","Graduate apprentice","Current employee, less than 1 year","","Free Canteen and bus facility","No downside for apprentice period"
"3.0","25 Feb 2015","ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW5992511.htm","Anonymous employee","Current employee","","Good stable company and primary product","manufacturing work culture"
"3.0","5 Aug 2020","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW34631311.htm","Assistant manager","Current employee, more than 3 years","Renukūt","Ok work life balance here","Slow promotion in the organisation"
"1.0","15 Jul 2020","Total scam","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW34245677.htm","Electrical engineering","Former employee, more than 1 year","Singrauli","",""
"1.0","9 Sept 2021","Bad salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW52293351.htm","Senior engineer","Current employee, more than 8 years","","",""
"1.0","11 Jan 2018","Asst Mgr","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW18696813.htm","Anonymous employee","Former employee, more than 1 year","Mumbai","",""
"1.0","24 Oct 2018","Review of Hindalco","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW23098529.htm","Quality assurance","Former employee, more than 5 years","Rānchī","",""
