"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","7 Aug 2022","Best of all","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW67626272.htm","Diploma engineer trainee","Current employee","Ballar","Best to work with good opportunity","No cons 
Better opportunity for every employees","Show more","",""
"3.0","5 Aug 2022","Overall Average","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW67588164.htm","Assistant manager horticulture","Current employee, more than 5 years","Navi Mumbai","Compensation 
Scope of work
Exposure 
Sustainability","Poor on site Management 
Internal politics 
HR policies and reality","Show more","",""
"5.0","6 Aug 2022","Best","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW67625423.htm","Graduate engineering trainee get","Current employee, less than 1 year","Mumbai","Great Work culture 
All types of facilities provided
Learning","Work Environment is quite bad
Pollution","Show more","",""
"4.0","10 Jul 2022","Good company. Recognises talent","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW66508984.htm","Senior manager","Former employee, more than 1 year","New Delhi","Good work culture. Recongises talent.","Work pressure may take a toll","Show more","",""
"4.0","20 Jul 2022","Review of JSW Steel Center","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW66963102.htm","Deputy manager sales","Current employee, more than 5 years","Mumbai","","","","Food facilities and Gym are Excellent","Slow growth & promotions, decision making is slow from HR."
"2.0","16 Aug 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW67994085.htm","Qulatity control","Current employee, more than 5 years","Bellary, Karnataka","","","","Good working people and culture","Bad management and salary package"
"3.0","5 Aug 2022","Stable job","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW67567477.htm","Anonymous employee","Current employee","","","","","Good exposure for young people","HR policies and pay not up to mark."
"4.0","15 Jul 2022","Jsw","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW66741702.htm","Safety officer","Current employee, more than 1 year","Salem, Tamil Nadu","Good working culture
Integrated plant
Positive culture
Manpower
Benifits","Polluted environment 
Distance between department 
Food quality poor
Leave benifits less
Working hours more than 8 hours","Show more","",""
"3.0","5 Aug 2022","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW67576643.htm","Anonymous employee","Current employee, more than 5 years","","","","","Job security Travel policy is good","Very least career growth culture is good"
"4.0","21 Jul 2022","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW66966033.htm","Cbm analyst","Current employee, more than 8 years","Bellary, Karnataka","","","","Leading steel manufacturer in India. Good career opportunities.","Working environment and management need to improve."
