"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"3.0","21 Aug 2021","Senseless People In Top Management","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW51422541.htm","Senior manager","Former employee, more than 5 years","Gurgaon, Haryana","Big organization
Employee and family medical insurance","Top leadership is of people who have been in system for decades. 
Totally insensitive towards the subordinates
No work life balance.","Show more"
"3.0","8 Jan 2021","Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW40320904.htm","Fraud prevention specialist","Current employee, more than 3 years","Gurgaon, Haryana","Job security and policies are good for employees.","Bad management and employee handling and less pay, always ask for overtime without extra pay.","Show more"
"3.0","17 Dec 2021","Good company but expect no growth in position or salary","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW56809655.htm","Manager","Current employee, more than 1 year","Gurgaon, Haryana","Good company
Job security
Flexible working hours","Don't expect promotion unless you are your manager's favourite
Salary not at par with the market","Show more"
"3.0","19 Jul 2017","Good place to work at !","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW15968722.htm","Anonymous employee","Current employee, more than 3 years","Gurgaon, Haryana","Employee friendly , recently got pay parity done for employees across the company , Work - life balance is encouraged","Politics at every level","Show more"
"3.0","25 Jun 2018","One of the best company to work with till date.","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW21195940.htm","Associate","Current employee, more than 1 year","Gurgaon, Haryana","Understands everyone prospects.i.e, Equality among all employees.","All is well except company policy.","Show more"
"1.0","21 Nov 2019","Worst Management","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW30507050.htm","Avp-it","Current employee, less than 1 year","Gurgaon, Haryana","No Pros, worst company to work for","Very bad culture, permanent staff treating vendors like slaves. However, if the current IT staff go to the market they will not get even a junior position. All the projects are being done by vendors. Permanent employees are only managers and they don’t know how much o treat people. Very bad culture","Show more"
"3.0","22 Nov 2021","Demanding job profile across function","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW55729993.htm","Anonymous employee","Current employee, less than 1 year","Mumbai","Brand image is good 
5 days working culture","Pressure is intense
Salary low than average
Low work life balance","Show more"
"3.0","28 Jul 2021","Ok Place to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW50382583.htm","Senior manager","Current employee","Gurgaon, Haryana","Shift Timings and Benefits are great .Health Insurance has some good options.
Good work life balance.","HR and Leadership can do a better job.A lot of internal politics and not very employee friendly.","Show more"
"5.0","9 May 2021","I learned alot in SBI cards, organisation is very good.","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW46682720.htm","Customer service specialist","Former employee, more than 5 years","","","",""
"3.0","24 May 2021","Nfte is like use n throw employees there","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW47383004.htm","Anonymous contractor","Current contractor, more than 3 years","Gurgaon, Haryana","Just job security else nothing","Join as a fte otherwise choose better","Show more"
"4.0","30 May 2019","I did my summer internship from Sbi card.  Best company you can work for.","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW26404442.htm","Internship","Former intern, less than 1 year","Gurgaon, Haryana","Good management, friendly environment, you can learn alot there","Nothing i Believe . Experience there was very good","Show more"
"4.0","24 Nov 2019","Very good atmosphere. very professional break timing is strict and nice to work without much pressure","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW30554745.htm","Executive","Current employee, more than 1 year","Tiruvānmiyūr","","",""
"4.0","16 Apr 2021","Trainer","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW45626458.htm","Trainer","Current employee, more than 1 year","Hyderābād","SBIC cards is awesome work location where we can get salary's in time","SBIC cards is awesome but no sufficient leaves ,they will provide only Sunday leaves n o festival leaves","Show more"
