review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
4.0,16 Jul 2023,Work culture is eco-friendly.,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW78307804.htm,District officer,"Current employee, more than 1 year",Nānded,Best organisation for entry level,Working hours are very long,,,
3.0,17 Jun 2023,not well,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW77462991.htm,Anonymous intern,Current intern,,,,to run bussiness work every day,jobs vacancy should increase it.,Show more
5.0,19 May 2023,Excellent policies,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW76607264.htm,Territory sales manager,"Current employee, more than 3 years",Chandigarh,,,Good environment in the company working,Timing flexibility in the working time,Show more
5.0,19 May 2023,Company is good,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW76591523.htm,"Assistant manager, e&i, pellet",Current employee,,Good work culture at AMBUJA.,No cons applicable at ambuja,,,
3.0,24 Apr 2023,I found the work good.,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW75767253.htm,Business development associate,Former employee,Noida,Good salary and good bosses to work with.,Long working hours many a times.,,,
5.0,22 Mar 2023,Working with challanging & changing environment.,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW74756199.htm,Senior safety officer,Current employee,,,,My company provides scope of improvement and chance of taking challange.,More transperancy for employees welfare policy will improve compianes performance,Show more
5.0,26 Mar 2023,Good co,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW74892033.htm,Head of finance,"Former employee, more than 8 years",Mumbai,,,good co to work and freedom culture,nothing to mention negtive about co culture during Holcim,Show more
4.0,17 Feb 2023,Company has good exposure but salary is low,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW73726294.htm,Deputy manager sales,"Current employee, more than 5 years",Mumbai,,,You get wide exposure if you are in the right place with right team,Salary is low as per work,Show more
5.0,26 Mar 2023,Great Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW74883969.htm,General management,Current employee,,Culture of inclusivity and great place to work,Nothing specific to be commented on.,,,
4.0,14 Mar 2023,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW74508380.htm,Graduate engineer trainee,"Current employee, less than 1 year",Marwar Junction,,,Good environment & Payscale. Good accomodation,"Working hours is not fixed, remote location",Show more
4.0,18 Dec 2022,Good company with average pay and lacking in vertical growth in most of the departments,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW71958429.htm,Assistant technical service manager,"Current employee, more than 5 years",South Twenty Four Parganas,,,Brand Value & Pioneer in cement,Vertical growth is very slow in all departments ( specially technical services ) as company is completely sales centric,Show more
4.0,25 Feb 2023,Good Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW73967820.htm,"Manager, internal audit","Former employee, more than 3 years",Calcutta,,,"Good Hands on experience, good working environment.",Internal politics. Nothing much other than that.,Show more
3.0,24 Feb 2023,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW73937163.htm,Senior executive,"Former employee, less than 1 year",Sonipat,Employee centric organization. Good renumerations.,Work life balance is terrible.,,,
4.0,2 Dec 2022,Good place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW71576984.htm,Asst manager,"Current employee, more than 10 years",,,,"Good learning opportunities, people are very nice","Nothing downside , everything is good for hard workng people",Show more
5.0,20 Dec 2022,Best company,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW72014800.htm,Human resources,"Former intern, less than 1 year",Kodīnar,,,Environment Reliable Best products Competitive Employee Retention,Nothing As Such No Cons,Show more
4.0,22 Nov 2022,Financial analyst,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW71299222.htm,Manager finance,"Current employee, more than 5 years",Navi Mumbai,,,Pay on time Open environment Good pay scale,Work pressure Work life balance,Show more
5.0,5 Dec 2022,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW71643018.htm,Assistant manager,Current employee,Mumbai,,,Very Good Very Good Good,Nothing Nothing Nothing Nothing Nothing,Show more
3.0,17 Nov 2022,Exploring for better Career opportunities,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW71177025.htm,Assistant manager,Current employee,,,,Employee Centric Good Brand Value,Uncertainty No growth opportunities Not very friendly,Show more
4.0,23 Oct 2022,Social science Teacher,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW70427334.htm,Tgt social science,"Former employee, more than 5 years","Raipur, Chhattisgarh",,,Good growth guidance helpful enjoyable work culture,Remote area village location facilities unavailable,Show more
3.0,29 Oct 2022,Deputy Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW70610515.htm,Deputy manager,"Current employee, more than 10 years",,,,"Good location, growth, connectivity, colony,",It distance is more from my native place.,Show more
4.0,9 Nov 2022,Working at Ambuja,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW70943931.htm,"Sr manager, finance","Former employee, more than 3 years",,Great place to work for everyone,Nothing to mention in cons,,,
5.0,5 Sept 2022,Job Profile,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW68740707.htm,Senior manager controlling,Current employee,,,,"Good Platform to learn , I learned lot in ambuja cements  like sap ,reporting formats , We have a good and structured format of report",By job rotation i could have learned more in different horizontal department,Show more
4.0,26 Oct 2022,Sales,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW70510672.htm,Manager,Former employee,,Good learning support of seniors is good.,Nothing to dislike everything is perfect,,,
4.0,22 Sept 2022,Can be summarised as a good place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW69339434.htm,Officer,"Current employee, more than 3 years",Mumbai,"Helping people, great office, great bonus, great performance.",Salary is average and hikes are a little below average,,,
4.0,20 Sept 2022,Health and Safety professional,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW69234691.htm,Senior engineer,"Current employee, less than 1 year",Kodīnar,,,"Good organization to work , People are friendly",No value for qualification Certificates etc.,Show more
4.0,26 Sept 2022,Features,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW69467182.htm,Assistant manager,Current employee,,,,"Depending on location, market vary
Provide well Knowledge","Politics, issues with work life balance in some departments",Show more
5.0,30 Aug 2022,Best place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW68521061.htm,Manager human resources,"Current employee, more than 10 years",New Delhi,,,"Conducive work culture
Freedom to take initiatives and grow
Transparent and fair Practices
World class benefit policies","Too much paper work,less focus on digitisation",Show more
1.0,12 Dec 2022,bad,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW71788184.htm,Manager,"Former employee, less than 1 year",,none i can think of,"toxic wok culture, no training",,,
3.0,29 Aug 2022,Hectic if in maintenance,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW68469477.htm,Assistant manager,"Current employee, more than 3 years",,In cement sector it is better company to work with compared to others,Work life balance is hampered if in maintenance,,,
5.0,9 Sept 2022,Best place to develop skills,https://www.glassdoor.co.in/Reviews/Employee-Review-Ambuja-Cements-RVW68872716.htm,Anonymous intern,"Former intern, less than 1 year",Panchkula,"great working enviornment, supporting mentors",there are no cons here,,,
