review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
5.0,15 Jul 2021,How to increase productivity without any time failure this my basic duty,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW49820076.htm,Graduate engineer trainee/production department,Current contractor,"All work is Safety first , safety must . PSU company so plenty of benefits.",Some drawback are not improving my professional skills as well as salary growth,Show more,,,
4.0,1 Aug 2021,Good salary package for freshers. Lot of Perks and perquisites.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW50553306.htm,Assistant manager,"Current employee, more than 5 years","1)Best package for freshers
2) Perks and perquisites
3) You become financially stable
4) Good opportunity to learn and interact with a wide variety of people","1) Transferred every 3 years
2) Sometimes work gets hectic",Show more,Bhubaneshwar,,
1.0,14 Jun 2017,"Area Manager, Industrial and Commercial",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW15467378.htm,Area manager,"Current employee, more than 1 year",There are very few especially if you are a premier B-school graduate. I'll still say health insurance and PF is an advantage,"Red-tapism
Role mapping is absent
HR is oblivious of what education the staff has and what roles they should be assigned to
Sycophancy
Highly understaffed (reason for profits equivalent to IOCL)
Miserly attitude of HQ when it comes to spending",Show more,,,
5.0,17 May 2018,nice work place,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW20640802.htm,Apprentice engineer,"Current intern, less than 1 year",In my work place i  couldnt find any ego clash between people everyone are friendly with each other even higher officals treat everyone equally.,for an permanent employee transfer will be there for every 3-4 years.,Show more,Tada,,
5.0,13 Jan 2020,Graduate Apprentice,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW31273868.htm,Graduate apprentice trainee,"Former employee, more than 1 year","Basically one of the biggest refinary in india, as a mechanical engineer i could learn a lot about the topics.","PSU, intakes are all through Gate Exams and Placements in limited colleges",Show more,Cochin,,
5.0,14 Jul 2020,Great place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW34211769.htm,Assistant manager human resources,Current employee,"Great culture, one on one interaction with senior leadership on a daily basis, amazing and helpful peers & colleagues",Approvals to be taken at various decision making levels - but that is inevitable in a PSU,Show more,Mumbai,,
5.0,5 Jun 2021,Great company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW47924448.htm,Mechanical engineer,Current employee,Contract Staff and some of management staff is great,Top management staff is not good. There is huge politics happening and they don't care about below level staff they only care about there position and there egos .,Show more,Thāne,,
5.0,15 Jun 2012,It's a Great place to Work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW1608337.htm,General manager corporate hrs,"Current employee, more than 10 years","Freedom, Innovation, Wonderful and most up-to-date Management Practices, huge scope for personal growth & evolution....",Remuneration can be a constraint at senior levels due to Govt restrictions,Show more,,,
4.0,8 Oct 2012,Its not like other PSUs,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW2028110.htm,Senior engineer (om&s),"Current employee, more than 3 years",Best for its work life balance..no hectic schedules and over burdens,Day to day work becomes mundane and career opportunities are not lucrative,Show more,Cochin,,
4.0,19 Oct 2012,Good place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW2064204.htm,Assistant manager,"Current employee, more than 5 years",Learning organisation. Professional work environment. Enjoy challenging MNC work culture along with security of Public sector.,Work like Pvt sector and get paid as per PSU norms.,Show more,Bathinda,,
3.0,26 Dec 2014,Good Company to work for,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW5590721.htm,Deputy manager,Current employee,"1. Good Compensation
2. Work Life Balance
3. Focus on learning, training & development
4. Not a typical government company","1. Performance is hardly differentiated
2. Career Growth/Placements appear to be arbitrary at times",Show more,,,
2.0,9 Aug 2018,Executive Sales,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW21897899.htm,Executive sales,"Former employee, more than 1 year","Good pay
Get to travel around","Blind following of top management
Worst work culture",Show more,"Kānpur, Uttar Pradesh",,
3.0,5 Apr 2019,work Life in Bharat Petroleum Corp. Ltd,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW25524421.htm,Anonymous employee,Current employee,"A free environment to work , Innovative ideas are welcomed .",highly demanding job. No work Life Balance,Show more,,,
4.0,15 Feb 2020,A well constructed environment helps to get knowledge about PSU and the product they are handling.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW31883302.htm,Graduate assistant,"Former employee, more than 1 year",,,,"Karūr, Tamil Nadu",A better environment to learn and grow up our knowledge and attitude towards the work.,A last workmen doesn't have a authority to comment.
5.0,20 Nov 2015,Project commissioning,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW8710655.htm,Anonymous employee,"Current employee, more than 3 years","Excellent pay, work-life balance. Good for long term employment as lot of growth prospects. Excellent job security also. Top management acknowledges innovative ideas.","May have to work in shifts, which takes a toll on your health.",Show more,,,
3.0,11 Mar 2016,A not so typical government PSu,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW9883919.htm,Senior management trainee,"Current employee, less than 1 year","job security
good salary for a fresher",promoted clerical staff can make your life miserable,Show more,,,
4.0,5 Aug 2016,Oil and gas,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW11473330.htm,Anonymous employee,"Current employee, more than 5 years",Everything is good.There officer treated employee as friendly as the same guider.,There is no found any cons at BORL,Show more,Mumbai,,
5.0,26 Jan 2017,Good company to work if you looking for a managerial role.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW13496986.htm,Anonymous employee,Former employee,Good salary and benefits with social status,monotonous work and so many hierarchical protocols,Show more,,,
2.0,28 Apr 2018,Working at BPCL,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW20348801.htm,Anonymous employee,"Current employee, more than 1 year",Good salary benefits and perks. Probably one of the best out there,"No work life balance
Sunday working
Long working hours
Harsh people/seniors
No defined job. Some day some work and the other day other as per the boss
Physical and mental pressure",Show more,Ludhiana,,
4.0,19 Feb 2019,good pay for permanent employee but slow growth,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW24784161.htm,Assistant manager,"Current employee, more than 1 year","huge volume, good work life balance
you feel good when you see the impact the company makes","poor pay at top management level, govt company so long procedures and slow decision making",Show more,Mumbai,,
5.0,1 Oct 2019,Manager in fuelstation,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW29557153.htm,Manager,"Former employee, more than 3 years",Bharat petroleum provides very good quality of diesel petrol & gas to customer which i like the most.,There was no downside of working in bharat petroleum,Show more,Mumbai,,
5.0,2 Mar 2020,One Year apprenticeship at Bharat Petroleum Kochi Refinery,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW32157553.htm,Graduate apprenticeship trainee,"Former employee, less than 1 year","Great opportunity for acquiring knowledge as we can work along with the best engineers.
Good work culture",Sometimes you have to work overtime but you won't get any allowance for that.,Show more,Cochin,,
4.0,26 Jul 2012,"Its with legacy of Burmah Shell & reality of being public sector, trying to emerge as customer oriented energy provider.",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW1776717.htm,Middle management in mktg,"Current employee, more than 10 years","Open Envirement, fortune 500 company",No clear cut promotion policies,Show more,Noida,,
5.0,23 Oct 2012,excellent company to work with regarding workplace,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW2074839.htm,Process engineer,"Current employee, more than 10 years",very satisfying regarding management and the manner of the modernisation of the company,frequent dialoques about pay revision yilding no result.resulting in worker dissatisfaction or dissullusionment,Show more,Mumbai,,
4.0,29 Dec 2014,Good Learning Experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW5601072.htm,Anonymous employee,Former employee,Great starting Salary & lot of Autonomy,Very less manpower at locations leading to heavy work load. Work pressure would be high especially for operations people,Show more,,,
5.0,4 Feb 2017,Nice to work with this company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW13634557.htm,Senior operations manager,"Current employee, more than 10 years",It gives freedom to work and share your experience in day to day work,No work life balance.,Show more,"Bīna, Madhya Pradesh",,
1.0,22 May 2017,Worst Company Ever. Worst management. Ranked least empathetic (score =0) by Harvard Business Review.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW15162264.htm,Engineer,"Former employee, more than 3 years",Just the salary and the allowances that are the part of the CTC. If you wish to stay try exploring other things rather than clinging urself to Doct.,"Seniors are not at all helping, managment is one of the worst ever and is not at all preferable. Worst location, no township",Show more,Eranakulam,,
2.0,24 Jun 2019,"Good perks, bad work culture",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW27567703.htm,Anonymous employee,Former employee,"1. Perks
2. Estabilished Setup
3. Exposure abd ownership of big accounts","1. Stressful 
2. Working saturdays and even sundays
3. Very large power gap
4.  Transferrable 
5. Non transparent PMS 
6.  DO not recommend to MBAs",Show more,,,
4.0,1 Jul 2021,One of the best PSU in india in term of pay and perks. Though top management is less emphatic about employees.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW49181806.htm,Sap pm consultant,"Current employee, more than 5 years",Pay and perks. Job security. Wide role.,Less emphatic culture. Frequent role change.,Show more,Mumbai,,
5.0,14 Aug 2021,Extreme Autonomy,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW51121427.htm,Treasury manager,"Current employee, more than 3 years",Highest level of independence and learning experience for a new bee to deal with cashflows and forex,Diversified career opportunities and base salary hike + opportunities for fast track promotions should be provided equally,Show more,Mumbai,,
4.0,8 Oct 2021,Good place to work but has its downsides,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW53739869.htm,Manager,"Current employee, more than 3 years",Great pay and benefits at the lower levels and good colleagues,Avoidable politics at the top resulting into rash decision making with limited benefits to the organization and its people,Show more,Mumbai,,
3.0,13 Jan 2022,Bad work culture,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW57849365.htm,Manager sales,"Current employee, more than 5 years","Good medical benefits
Job security
Good pay package for youngsters","Intense negative politics
Intrusion into personal space
Red tapism",Show more,Mumbai,,
3.0,15 Apr 2016,Engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW10277671.htm,Anonymous employee,"Current employee, more than 10 years",Good for begineers as well as for  senior management groups,Work load is more at maintenance side & construction side expecially for fresh engineers,Show more,,,
4.0,21 Jul 2016,One of the better oil companies in India,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW11316507.htm,Anonymous employee,Former employee,,,,,"Good Salaries and perks, good facilities for employees","Orthodox organisational set-up , Best talent generally resigns in a year or two"
