"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","19 Jun 2021","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW48572770.htm","General manager","Current employee","Bengaluru","","","","Highly rewarding, Encouraging, participative Management and Market leader","Posting in remote location, All india Transfers"
"4.0","22 Jun 2012","Not - Satisfied with company culture.","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW1634283.htm","Executive engineer","Current employee, more than 3 years","Vadodara","Exposer and salary is very good.","Working Culture is not good.","Show more","",""
"5.0","18 Jul 2012","EMPOWERING THE NATION","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW1744499.htm","Maintenance of swichyard","Current employee, more than 3 years","Baripāda","It is the only company which transmits UH AC in INDIA.","social life is uncomfortable at POWERGRID","Show more","",""
"2.0","4 Oct 2014","Good Company for ppl who love to settle up soon","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW5100319.htm","Engineer","Current employee, more than 3 years","Gurgaon, Haryana","","","","Decent pay, Govt job, Easy work,","No Growth, No challenging job"
"5.0","8 May 2017","excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW14962567.htm","Junior engineer","Current employee, less than 1 year","Indi, Uttar Pradesh","","","","nice pacakge compared to all other sectors","very remote location to work"
"5.0","25 Mar 2018","Asstt. Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW19864503.htm","Project management","Current employee, more than 5 years","North Lakhimpur","Friendly working environment and handsome salary.","deal with compensation issue and handling with publics","Show more","",""
"5.0","22 Jan 2019","Assistant Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW24334750.htm","Assistant manager","Current employee, more than 1 year","Balāngīr","Best technical work to do for electrical engineer","Remote locations posting places all over india","Show more","",""
"4.0","17 Aug 2019","Internship at power grid corporation of india","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW28682188.htm","Anonymous intern","Former intern","","","","","Salary is good. Offices are nice.","Type of work or work location."
"3.0","9 Sept 2021","Good salary with non competitive environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW52296421.htm","Senior general manager","Current employee","Gurgaon, Haryana","","","","Very good salary and chance to excel","Not competitive and no recognition of performance"
"5.0","27 Nov 2021","Good Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW55914892.htm","Anonymous employee","Current employee, more than 10 years","","- freedom to work
- good salary","some of the places of posting are extreme","Show more","",""
"3.0","17 Jul 2012","It was a nice experience in powegrid for 2 months.","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW1741432.htm","Summer intern","Former intern, less than 1 year","Calcutta","","","","good work environment,cordial staff,huge opportunity to grow....","internal politics,less competitive attitude etc.."
"4.0","17 Aug 2012","nice place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW1856420.htm","Intern","Former intern, less than 1 year","New Delhi","work life balance,less burden of work","no growth, working environment a bit not good","Show more","",""
"4.0","10 Aug 2013","people r generous","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW2918544.htm","Anonymous intern","Current intern, less than 1 year","New Delhi","It is a public sector company so u know that.............","no room for innovations whatsover","Show more","",""
