"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","4 Jul 2018","Proud to work","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW21335641.htm","Anonymous employee","Current employee","","","","Timely increment 
Timely payment 
Good welfare","Competition is very high. ok","Show more"
"3.0","3 Sept 2018","Intern","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW22289418.htm","Intern","Former intern, less than 1 year","Rājkot, Gujarat","","","AC rooms were really good","Too much site work for students","Show more"
"3.0","14 Jun 2019","Assistant Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW27405560.htm","Anonymous employee","Former employee","","","","Brand name
Job safety
Learning opportunities
Culture
Nothing else","Salary
Risk averse culture
Senior employees reluctance to new things","Show more"
"4.0","15 Nov 2019","Nice company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW30390992.htm","Anonymous employee","Current employee, less than 1 year","","Flexible timing and work location","No cons as such","","",""
"2.0","5 Apr 2020","Not the best experience possible","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW32610352.htm","Summer trainee","Current intern, less than 1 year","Sidhi","Good staff and HRs were helpful","Projects were not that great","","",""
"5.0","21 Jul 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW34362364.htm","Customer relations","Former intern","Jaipur, Rajasthan","The work culture is good","None as such apart from the processes","","",""
"5.0","18 Aug 2020","Growing Industry","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW35049103.htm","Senior electrical engineer","Current employee","Nālāgarh","Employee safety is Top priority","Extra pressure on employees while working","","",""
"5.0","12 Aug 2020","good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW34828302.htm","Intern","Former intern, less than 1 year","Amreli","I had a good experience","No cons in my point of view","","",""
"5.0","9 Nov 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW38143855.htm","Sales assosiates","Current employee","","Best work environment and friendly seniors","Heavy workload can get you tedious","","",""
"5.0","3 Jan 2021","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW40031184.htm","Assistant manager-chartered accountant","Current employee, more than 1 year","Surat","","","Good governance and employee safety.","Remote working locations and leave policy","Show more"
"5.0","16 Feb 2021","Nice Company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW42564990.htm","Asm manager","Former employee","","Nice company to work, nice management","No cons every thing good","","",""
"4.0","19 Feb 2021","Account executive","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW42747691.htm","Anonymous employee","Current employee","","Good for learning and devolopment","Salary structure not good, but overall ok","","",""
"5.0","12 Mar 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW43900680.htm","Applications engineer","Former employee","Bengaluru","Good work opportunity in Ultratech Cement","Working shifts are heavy for freshers","","",""
"4.0","23 Mar 2021","Decent","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW44410909.htm","Engineer","Former employee","Jodhpur, Rajasthan","Size of Organization is big that gives stability","Remote Location is one concern","","",""
"4.0","8 Apr 2021","Good cement company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW45246288.htm","Anonymous employee","Former employee, more than 3 years","Pune","Big team, brand image, market share","Multiple priorities, quality issues sometimes,","","",""
"4.0","29 Apr 2021","process exceutive","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW46231732.htm","Anonymous contractor","Former contractor","","","","good place to work
co-operative staff","no cons with the company nice company","Show more"
"3.0","5 May 2021","Good work place","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW46517137.htm","Chemist","Current employee","Bengaluru","Some good knowledge about concerte","Only about concerte noting else to learn","","",""
"5.0","1 Jun 2021","Ultratech cement","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW47768450.htm","Financial analyst","Current employee","Pune","Good For long term growth","Nothing much, it's a branded company","","",""
"4.0","8 Jun 2021","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW48063742.htm","Senior manager","Current employee, more than 3 years","","","","Opportunity for career growth
Good salary","Work pressure
Bias in senior management","Show more"
"5.0","11 Aug 2021","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW50984811.htm","Territory manager","Current employee","Āgra, Uttar Pradesh","Good company to work with","Nothing about cons as if now","","",""
"4.0","24 Oct 2021","Join for stability","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW54402955.htm","Territory technical service manager","Former employee, more than 5 years","Jaipur, Rajasthan","","","Industry leader
Stability in Job
Friendly colleagues","Slow career progression at lower levels","Show more"
"5.0","27 Oct 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW54550441.htm","Territory sales manager","Current employee, more than 3 years","Raipur, Chhattisgarh","Good work life balance, good perks","no downside so far. good company","","",""
"4.0","9 Nov 2021","Overall Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW55141905.htm","Manager","Current employee, more than 3 years","Mumbai","","","Good Pay and Work timings","Nothing as such to mention","Show more"
"4.0","23 Dec 2021","Its really good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW57050266.htm","Anonymous employee","Former employee","Ahmedabad","Easy to work any where","Too much pressure for work completion","","",""
"5.0","20 Feb 2013","good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW2386775.htm","Anonymous employee","Current employee, more than 3 years","","","","good place to gain knowlege","it absolutely has no downsides.","Show more"
"3.0","25 Dec 2013","good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW3456062.htm","It trainee","Former intern, less than 1 year","Jaipur, Rajasthan","good projects, helping people, good working enviornment","extreme working conditions for non-IT people","","",""
"3.0","5 May 2018","Good to work!","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW20445057.htm","Anonymous employee","Current employee","","Good Exposure to large company","Minimum or no Delegation of Authority","","",""
"5.0","14 Sept 2019","GOOD","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW29223389.htm","Civil engineer","Former employee, more than 10 years","North Goa","Its Good to see this","Nothing much....Civil engineers salary should Increase","","",""
"5.0","29 Sept 2019","Ultratech TADIPATRI","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW29510827.htm","Engineer","Current employee, more than 5 years","","","","Good place to work
Good packages","Nothing to say 
Every time","Show more"
"5.0","16 Nov 2019","MTS","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW30411635.htm","Anonymous employee","Current employee","","Yes good to work.Work life balance","NO cons as of now.","","",""
"4.0","18 Apr 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW32787389.htm","Manager","Current employee","Allahabad","Good growth opportunity, good management","High pressure environment, travelling, slow decision making","","",""
"5.0","21 Jan 2021","Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW41169274.htm","Executive","Current employee, more than 3 years","","","","Company having good Welfare facilities","Employees Slow career progress !","Show more"
"4.0","17 Mar 2021","Fantastic Work place","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW44145934.htm","Operations","Current employee","Faridpur Durgapur","very good working space friendly","more working hours, night shifts","","",""
"4.0","3 Apr 2021","Work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW44965611.htm","Engineer","Current employee, more than 3 years","Kutch","Best learning opportunities best culture","Work life balance in senior management","","",""
"5.0","19 Apr 2021","Employee friendly","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW45720027.htm","It project manager","Former contractor","","Good work culture at workplace.","Can't think of any really.","","",""
"4.0","16 May 2021","Well organised company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW47024280.htm","Management intern","Former freelancer","","","","Established systems and processes
Collaborative environment
Disciplined","May get a bit monotonous","Show more"
"5.0","23 Jun 2021","Awesome","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW48769069.htm","Manager","Current employee","Vāranāsi","Awesome, best , wonderful, amazing, marvelous","None none none none none","","",""
"2.0","19 Jul 2021","Job Title","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW49965981.htm","Senior officer","Current employee, more than 3 years","Patna, Bihar","Good brand, market presence, established brand","Work pressure..poor salary, no good hr policies","","",""
"3.0","18 Aug 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW51300583.htm","Anonymous employee","Former employee","","Good working here.. very friendly environment","Field work is alot and workman handle","","",""
"5.0","9 Sept 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW52343177.htm","Mis","Current employee, more than 1 year","","Work atmosphere is excellent in office","Work timeline is high sometimes","","",""
"5.0","13 Sept 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW52458196.htm","Anonymous intern","Current intern","","Effective Learning with amazing colleagues.","No disadvantages as such are there.","","",""
"4.0","8 Oct 2021","Pros","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW53711931.htm","Anonymous employee","Former employee","","Good work life balance, Helpful Co workers","Lower Increments, Delay in promotions","","",""
"1.0","31 Jul 2017","Disgusting. Join only if it's the last resort.","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW16154758.htm","Finance","Former employee, less than 1 year","Calcutta","","","(1) Professional & Dynamic HR Head.
(2) Excellent CEO.","(1) HR should be given super power to revive the culture of the company.
(2)Fully Manual System of working
(3) Unstructured & Unprofessional environment","Show more"
"4.0","26 May 2018","GOOD","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW20764394.htm","Anonymous contractor","Former contractor, less than 1 year","Calcutta","Empathetic Organization with ample learning opportunities.","None came to my notice","","",""
"3.0","12 Apr 2019","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW25649810.htm","Senior engineer","Current employee, less than 1 year","Bhuj","","","Learning opportunities is good .","Expert in my field .","Show more"
"5.0","5 Aug 2019","CASC","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW28442007.htm","Casc officer","Current employee, less than 1 year","Mumbai","Lots of Amenities, Decent administration","Work/Life balance cannot be maintained","","",""
"5.0","16 Oct 2019","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW29844286.htm","Anonymous employee","Current employee","","Nice job very nice job","None other than the other","","",""
"5.0","16 Nov 2020","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW38369874.htm","Officer","Former employee, more than 3 years","Calcutta","All good .slow career growth","Slow career growth in life","","",""
"4.0","10 Dec 2020","nice","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW39327330.htm","Accountant support","Former employee","","It was good company for Work","Management is quite micro managing","","",""
"5.0","26 Dec 2020","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW39806506.htm","Assistant human resources manager","Current employee","Mumbai","Employee caring organisation, motivated people","A little Less on salaries","","",""
"3.0","11 Jan 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW40472818.htm","Officer logistics","Former employee","Raipur, Chhattisgarh","Employee benefits, senior support and guidance.","Salary, perks, limited transfer options","","",""
"3.0","1 Jun 2021","Family oriented","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW47732906.htm","Territory marketing executive","Current contractor","Hyderābād","Work Life Balance, Benefits for family","Less Growth, Not many opportunities","","",""
"4.0","20 Sept 2021","Power Plant","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW52802531.htm","Assistant manager","Current employee, more than 10 years","Chandrapur, Maharashtra","Good company to work for","None cons about the company","","",""
"4.0","21 Sept 2021","good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW52867502.htm","Anonymous temporary employee","Former temporary employee","","very good company to work in","not any as such n/a","","",""
"5.0","18 Sept 2021","Awesome","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW52744611.htm","Sales officer","Current employee, less than 1 year","","Ultimate company to work with","Nothing. No cons till date","","",""
"3.0","8 Oct 2021","good company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW53704096.htm","Engineer","Current employee, more than 1 year","","good salary, nice colony for liveing","hectic work for mechanical engg","","",""
