"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"4.0","23 Nov 2021","I've been working at Divis Labs","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW55733928.htm","Assistant internal auditor","Current employee, less than 1 year","","1.Work life balance
2.Good Company culture","Nothing till now, need to find in future","Show more","",""
"4.0","11 Aug 2020","Work  experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW34788857.htm","Mechanical engineer","Current employee","Hyderābād","","","","Good for freshees to join and learn work","Long hours to work no ot given"
"5.0","19 Mar 2021","ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW44242621.htm","Senior chemist","Current employee, more than 10 years","Hyderābād","","","","degree base jobs prodution department","work was very hard full pressure and this caste base company"
"5.0","21 Jan 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW41212329.htm","Maintenance engineer","Current intern","Visakhapatnam","","","","Good environment,Good salary,good growth,good food.","Good environment, encourage, Innovative, Supervision, design"
"4.0","16 Nov 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW38407245.htm","Supervisor qa & ra","Former employee","Hyderābād","","","","Good place to achieve knowledge","Work atmosphere is not that good"
"1.0","17 Jun 2021","No proper work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW48476724.htm","Regulatory affairs associate","Former employee, more than 3 years","Hyderābād","Learning, benefit for candidates who has reference, high salary for reference employees.","Poor salary for non-reference candidates, no family time, extended work hours, no weekends, no value for work done.","Show more","",""
"1.0","7 Oct 2020","Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW36866646.htm","Supervisor","Current employee, less than 1 year","Hyderābād","Any one can join with a referral","Worst work environment 
No respect for employees","Show more","",""
"1.0","10 Feb 2021","Working at divis","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW42307664.htm","Production chemist","Current employee, less than 1 year","Visakhapatnam","Salary given on time 
Hike better than other companies","Gives job based on caste","Show more","",""
"1.0","10 Jul 2021","Bad","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW49572398.htm","Supervisor","Former employee, less than 1 year","Hyderābād","","","","No reason at all to work","Heavy work, very less pay"
"4.0","13 Aug 2024","Excellent environment to learn about the process in terms of manufacturing and safety protocols","https://www.glassdoor.co.in/Reviews/Employee-Review-Divis-RVW90058141.htm","Production chemist","Current employee, more than 1 year","","","","","Wonderful management and leadership with a strong personal growth at all levels.","long working hours and personal skills could have been assessed to put in to a team."
