review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
3.0,4 Aug 2015,chola review,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW7449598.htm,Assistant vice president,"Current employee, more than 10 years","Bilāspur, Chhattisgarh",,,"good hr policies, people practices",people oriented n not process oriented,Show more
5.0,7 Oct 2018,Recovery,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW22841270.htm,Anonymous employee,Current employee,,,,"Good working atmosphere
Good salary package","Little pressure everymonth
No allowance for petrol",Show more
5.0,13 Feb 2021,Nthng,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW42443999.htm,Sales associate,Current employee,Puducherry,Good job good support by company,Nothing to share about company,,,
3.0,9 Jun 2021,Good Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW48108840.htm,Senior executive,Current employee,Chennai,Get all benefits like insurance and all,Salary is more concern here,,,
4.0,11 Aug 2021,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW50988160.htm,Junior executive assistant,Former employee,,,,Best managers and officers b,Personal reasons going to banglore,Show more
3.0,17 Sept 2021,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW52706768.htm,Test engineer,"Former employee, more than 1 year",,Start up company freshers can learn,Salary is very low no con's apart,,,
2.0,22 Nov 2021,Not good for fresher,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW55693089.htm,Hr-executive,Current employee,Vijayawāda,Good company good salaries good increments,Lots of pressure for freshers,,,
5.0,18 Nov 2021,Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW55537985.htm,Senior manager,Current employee,,Benefits and perks are good,Nothing as of now to say,,,
5.0,12 Dec 2020,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW39407919.htm,Credit assistant,"Current employee, more than 1 year","Karīmpur, West Bengal",Good work environment for me,Good support from my senior,,,
5.0,23 Sept 2021,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW52995373.htm,Officer,"Current employee, less than 1 year",Chennai,"job secure, reliable stable company",not much to complain about,,,
3.0,28 Sept 2015,Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW8102534.htm,Anonymous employee,Current employee,,"Open Culture,good work life balance.","Low salary,low growth in long term",,,
3.0,13 Jul 2018,Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW21468130.htm,Anonymous employee,Current employee,,good company with great relationships and resources,work can be monotonous,,,
3.0,19 Aug 2020,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW35076572.htm,Management trainee,"Former employee, more than 1 year",Pune City,It's amazing to work in HO,Work culture not that great!,,,
3.0,1 Dec 2020,Good place,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW38915771.htm,Anonymous employee,Current employee,,Good for learning and individuality,"Nothing much , good ambience",,,
3.0,25 Mar 2021,Nice,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW44582256.htm,Assistant manager,Current employee,,Job secure and giving benifits.,Not given desent hike for employees,,,
2.0,12 Apr 2021,Company review,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW45382698.htm,Anonymous employee,"Current employee, more than 1 year",Nashik,Work life balance is good,Politics affecting market reputation of Company,,,
2.0,6 Oct 2020,Work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW36815040.htm,Asm (area sales manager),"Current employee, more than 1 year",,No pros only cons. Hahaha,"No personal life, no nothing",,,
1.0,15 Jul 2021,"Internal Politics and unfair policy, lack of transparency",https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW49796224.htm,Area business manager,"Former employee, more than 1 year",Bhopal,,,"Good salary and Incentive, strong Murugappa group.","Poor work life balance, immense pressure, not bothered of customer relationship and satisfaction, high pressure of collection, poor/ confused management",Show more
1.0,3 May 2017,HR,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW14892388.htm,Deputy manager human resources,"Former employee, more than 3 years",,,,"freedom to work,  not much inference from others,","less transparency, pay not matching market, too much of politics, do not value their employees especially female staff, biased top management, stagnant work learning atmosphere,",Show more
1.0,3 Jul 2020,Poor Company to work for,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW34043176.htm,Sales executive,Current employee,Ambāla,Work pressure is not that much,No one listens to executives...Only managers have their way,,,
1.0,22 Mar 2021,Concall company,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW44363751.htm,Senior asm,"Former employee, less than 1 year",Patna Rural,,,"No pros of the company
No pros of the management
No pros","Only concall every day
Only concall
Only concall",Show more
4.0,27 Jul 2023,Former Employee,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW78625909.htm,Anonymous employee,Former employee,,Standard company to work Good work life balance,Freshers can learn more but growth will be very slow,,,
5.0,25 Jan 2022,Company is better,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW58542548.htm,Deputy officer,"Current employee, more than 5 years","Mirzāpur, Rajshahi",,,Cholamandalam investment and finance company limited is work very easy not any problem,Working is very easy and back support in upar level,Show more
5.0,8 Aug 2017,Good Employees and supporting Management,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW16261453.htm,Good employees and supporting management,"Current employee, more than 1 year","Los Angeles, CA",,,Working for the TCM Financial Services has been great. They all  work in teams and evryone is very positive and supporting of the another one. This company is really good and there is a lot of room for growth in company.,"Nothing.. Great services
Everything is good...",Show more
5.0,7 Oct 2021,Excellent place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Cholamandalam-Investment-and-Finance-RVW53701009.htm,Human resources manager,"Former employee, more than 3 years",,,,"Love the company, the people and the team. Lots of opportunities and friendly people. Great place to work",Office politics can be something to watch out for,Show more
