"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","3 Mar 2022","nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW60589190.htm","Anonymous employee","Former employee, more than 3 years","good environment and encouraging leadership","so many layers of management","Hyderābād","","",""
"4.0","6 Feb 2022","Good Company.","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59191895.htm","Senior data science engineer","Current employee, more than 1 year","","","Bengaluru","Nice People. Lots of data to explore","Nothing as of now. Everything is good","Show more"
"4.0","13 Feb 2022","Amazing people but online is issue","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59615382.htm","Intern","Former employee, less than 1 year","Amazing people but online is issue","Online onboarding is an issue","","","",""
"4.0","8 Feb 2022","Cell culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59348808.htm","Scientist","Former employee","Work culture is great. Friendly colleagues. Good HR policy.","Salary is not up to the mark","","","",""
"5.0","24 Jan 2022","Its good to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW58420187.htm","Quality control associate","Current employee, less than 1 year","Company policies, working environment, flexible timing, 5 working days","Nothing as such since all other factors are very good","","","",""
"5.0","20 Jan 2022","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW58261422.htm","Anonymous employee","Current employee, more than 1 year","","","Hyderābād","Very good culture 
Opportunities to learn & implement industry leading tools & techniques","NO cons , great place to work","Show more"
"4.0","11 Feb 2022","Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59499668.htm","Field sales (tbm)","Current employee, less than 1 year","","","Kanpur Nagar","Many benefits with company and good culture","No comment on either side of company","Show more"
"4.0","9 Feb 2022","Not a good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59388767.htm","Technical trainee engineer","Current employee, less than 1 year","","","Visakhapatnam","Not much work, in day to day","Not much learning
Lazy work culture","Show more"
"5.0","31 Jan 2022","Project intern","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW58825329.htm","Summer project intern","Former intern, less than 1 year","Good work culture, nice employee benefits and good learning experience","None found so far during tenure","Hyderābād","","",""
"5.0","10 Jan 2022","Excellent work culture at Drl...","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW57716507.htm","KEY NOT FOUND: reviews.self_employ-anonymous","Formerly self-employed","","","Bengaluru","Employee friendly company, best work ethics and culture","There is nothing to say","Show more"
"5.0","4 Feb 2022","Microbiologist","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59117957.htm","Anonymous employee","Current employee, more than 3 years","","","Hyderābād","Job safety and employee friend policies","No downside reasons found in working environment.","Show more"
"5.0","6 Feb 2022","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59182749.htm","Formulation scientist (r","Current employee, more than 3 years","Food is good. Surrounding is good.","Work life balance is poor. No increment.","Hyderābād","","",""
