Britannia Industries Ltd 2
glassdoor (1),,,,,,,,,,,
review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
5.0,7 Feb 2024,It was good exposure for a student to learn,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW84161118.htm,Quality assurance,"Former intern, less than 1 year","Khurda, Orissa",,,,They make you overall aware about the job roles,Lot of pressure at work is present.
5.0,4 Feb 2024,Exponentialy growing organization,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW84054010.htm,Quality officer,"Current employee, more than 1 year",Pune,The organization is paced and growing exponentialy. Poses the environment to work limtless and provides many opprotunites for do'rs,Emplyoee wealfare is a concern.,Show more,,
2.0,6 Feb 2024,Britannia,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW84133553.htm,Trade marketing manager,"Current employee, more than 1 year",Bengaluru,,,,Get to learn a lot in very less time,No work life balance. Have to be available and working on weekends and sometimes holidays.
4.0,2 Jan 2024,Honest Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW82991540.htm,Sales interm,"Current intern, less than 1 year",Pune,"I got to learn alot about how market works, I was working with ACD channel which is institutional sales and it was a very good experience.",The only challenge you face is doing field work every time which sometimes is a hindrance.,Show more,,
4.0,26 Jan 2024,"Great potential to learn, however workload significantly high",https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW83772602.htm,National trade marketing manager,"Former employee, more than 1 year",Bengaluru,"- Lean organization
- Higher responsibilities
- Large distribution & budget","- Lower salaries than industry standard
- High workload",Show more,,
1.0,16 Mar 2024,Not good,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW85389070.htm,Intern,"Former intern, less than 1 year",Noida,,,,Experience will be added to your cv,"Low pay, very toxic environment"
5.0,10 Jan 2024,Loved the work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW83254347.htm,Sales associate,Former intern,Indore,,,,The management is very cooperative,It’s a total field job for freshers as a sales person
4.0,8 Jan 2024,GOOD COMPNAY,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW83171314.htm,Area sales executive,"Current employee, more than 1 year","Sirsa, Haryana","salary on time, good incentive ,","travel policy not good , more politics",Show more,,
5.0,8 Jan 2024,....,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW83150182.htm,Quality officer,"Former employee, more than 5 years",Pune,"Good, best, wonderful, nice, wealthy",Nothing to say which is bad,Show more,,
3.0,22 Dec 2023,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW82809126.htm,Production officer,"Current employee, more than 3 years",Bengaluru,Good place to work & culture is also good,Life balance & training for future levels for the current employees,Show more,,
4.0,4 Jan 2024,Good to Work here,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW83061970.htm,Sr. ase,"Former employee, more than 3 years",New Delhi,,,,"Good Brand, good perks and learnings","Huge Pressure, NO Work life Balance"
4.0,27 Dec 2023,Overall Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW82875586.htm,Sales and marketing,"Former intern, less than 1 year",,"One of the best FMCGs out there.
Wonderful leadership team, good work-life balance",No cons as of now,Show more,,
4.0,21 Dec 2023,Good for all,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW82772074.htm,Production officer,"Former employee, more than 1 year",Hyderābād,,,,Systems in the company are well established,Work culture of the company is little hectic.
4.0,8 Dec 2023,Nice place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW82452605.htm,National accounts manager,"Current employee, more than 3 years",Bengaluru,"Pretty old company with a strong base
Job security
Will never go in losses considering the nature of the product","No Saturday off
Pressure for sales",Show more,,
1.0,29 Jul 2023,Very unethical,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW78678955.htm,Hr-officer,"Current employee, more than 1 year",,Have to think if have any,"There is no work culture in the plants/factories. Seniors don't know how to behave with junior subordinates, they flirt and do double meaning talk with the female employees, even after resisting. No work life balance, managers will keep things pending at there end will just do gossips whole day and end of day they will throw more work on reportee. We are forced to work 10 to 12 hours many time. We are forced to do things which have no relation to our KRA. Only when they got to know any senior management person is about to visit then image cleaning process begins. Will never recommend anyone to work here, very toxic place.",Show more,,
4.0,28 Nov 2023,Good environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW82165099.htm,Quality assurance analyst,"Current employee, more than 3 years",Erode,Team free environment to build a better culture,Enjoy yourself to deliver the best results,Show more,,
5.0,29 Nov 2023,My overall experience during this 2month of internship it's was good.,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW82174415.htm,Sales and marketing intern,Former intern,"Patna, Bihar",,,,Brand name is very impact full.,You have to fullfill the sales target.
5.0,4 Dec 2023,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW82320578.htm,Production officer,"Former employee, more than 5 years",Perundurai,Very good place to work,Work life balance need to improve,Show more,,
4.0,26 Nov 2023,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW82097057.htm,Sales and marketing,Former intern,,,,,Had a great learning in sales.,Nothing bad in the experience i had
5.0,15 Nov 2023,intern as hr trainee in britannia,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW81834879.htm,Internship,"Former employee, less than 1 year",Tirunelveli,,,,friendly environment supportive team company benefits,travel to plant about 30kms from city
4.0,8 Nov 2023,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW81641858.htm,Area sales executive,"Current employee, more than 1 year",Ahmedabad,Improve your skill in the fmcg sector,To much meeting sometimes rsm direct reporting to you .,Show more,,
5.0,8 Nov 2023,Good place to implement models,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW81647704.htm,Machine learning researcher,Former intern,Bengaluru,,,,- Helpful teammates -Great learning opportunity,Nothing comes to my mind
4.0,4 Nov 2023,Great!,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW81545224.htm,Assistant manager - r&d,Former employee,Bengaluru,,,,Challenging projects New technologies Growth,work hours long at times travel domestic
3.0,31 Oct 2023,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW81438561.htm,Internship,"Former intern, less than 1 year",Mumbai,,,,good working environment good management,nothing bad to talk about
3.0,14 Oct 2023,Britannia Industries Ltd,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW80939890.htm,Senior qa officer,"Current employee, more than 8 years",Bharūch,Good HR policies and facilities,High pressure and work life balance not good,Show more,,
3.0,23 Oct 2023,R&D,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW81202195.htm,Anonymous employee,"Current employee, more than 5 years",Bengaluru,"Work life balance, well maintained",Job benifits. Carrer Growth. Officer trainings.,Show more,,
5.0,23 Oct 2023,Great,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW81175377.htm,Area sales executive,"Former employee, more than 1 year","Patna, Bihar",Hr managers supportive and helpful.,Work life balance is terrible,Show more,,
5.0,16 Oct 2023,Good organization,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW80974301.htm,Production engineer,Current employee,,,,,Steady growth. Good job security.,Firefighting approach in work. No such cons.
5.0,28 Sept 2023,Job search,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW80509558.htm,Executive,Current employee,,,,,Having Superb dupper system and process,Missing Work Life balance in some time
5.0,24 Sept 2023,good experiece,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW80364367.htm,Internship,"Current temporary employee, less than 1 year",Chennai,good place safe and secure environment,no food low sakary no parttime,Show more,,
4.0,19 Sept 2023,Job review,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW80198135.htm,Production officer,"Current employee, more than 1 year",Pune,"Job security,Good local culture,Good travel","Micro management, Heavy workload,No growths",Show more,,
4.0,25 Aug 2023,Overall,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW79474470.htm,Supply chain manager,"Current employee, more than 5 years",Bengaluru,,,,Supply chain strategies are being reworked and more robust to meet consumer and market demand,Little reactive to innovations and it’s needs more patience to persist with it . Poor pay master
4.0,31 Aug 2023,Extremely compititive to work and fairly compensated,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW79656819.htm,Production officer,"Current employee, more than 3 years",Gujrāt,"Good Working Environment, Good Pay.",Appraisals and Increament are relatively low,Show more,,
4.0,10 Sept 2023,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW79921598.htm,Qa officer,"Current employee, more than 3 years","Gwalior, Madhya Pradesh",,,,"Freedom to improve things, Good atmosphere","Work life balance, High work load"
5.0,7 Sept 2023,Very good organisation,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW79866418.htm,Senior executive,"Current employee, more than 1 year",Ranjangaon,,,,"Salary, HR, Work Life balance",Nothing very good organisation good environment
4.0,8 Sept 2023,NA,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW79875284.htm,Ml intern,Former intern,Bengaluru,,,,good office and working space,"bad projects, colud have been better"
1.0,4 Apr 2023,Never join Britannia unless you are really desperate to make an FMCG switch,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW75201155.htm,Brand marketing,Current employee,,Two reasons - Brand Name on your CV - Backend and operational nitty gritties when you work with a multifunctional team.,- New hires are not given any induction and thrown into the crocodile waters to swim and make their way on their own and expected to know everything - new scheme that management has uncovered is to hire a level below and make them work for a level up - passive aggressive boss or managers - everything is urgent workwise - expectations to work over weekend dont know when indian companies will understand that they r paying for 9 hours of work... and the work won't get completed in a day don,Show more,,
2.0,11 Aug 2023,Ware house assistant manager in Britannia biscuit,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW79060390.htm,Ware house assc,"Current employee, more than 10 years",,,,,Good knowledge of ware house handy and maintenance records inward outward stock,Stock handling inward outward and sap software computer operate
5.0,24 Aug 2023,GREAT,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW79465866.htm,Talent acquisition executive,Current employee,,,,,"Its good working here, I like it","I am new, so not sure as of now."
4.0,14 Aug 2023,Not what I expected,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW79147753.htm,Summer internship program,"Former intern, less than 1 year",Bengaluru,They have decent facilities in the office.,The work load is hectic,Show more,,
5.0,28 Aug 2023,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW79535511.htm,Management trainee,Current employee,,,,,good work env and team,nothing so far as i am new
4.0,8 Aug 2023,Job security,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW78963621.htm,Accounts officer,Current employee,Bengaluru,,,,"Work life balance, company culture","Travelling, no work from home"
5.0,11 Jul 2023,Excellent,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW78168897.htm,Asm (area sales manager),Current employee,,Excellent Growth Opportunity in India No 1 Company in FMCG (Biscuits Industry),Difficult to maintain Work life Balance,Show more,,
4.0,26 Jul 2023,Admin,https://www.glassdoor.co.in/Reviews/Employee-Review-Britannia-Industries-Limited-RVW78593558.htm,Human resources executive,"Current contractor, more than 5 years",Bengaluru,,,,Work culture good environment for career growth,Long working hours weekend extension
