"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"3.0","28 Aug 2018","Harsh environment","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW22191990.htm","Maintenance executive","Current employee, more than 1 year","","Good exposure for new projects","Worst management, budget issues,no plans","Show more","",""
"4.0","19 Mar 2019","Working at USL India","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW25249792.htm","Anonymous employee","Current employee, more than 3 years","Bengaluru","","","","Transparency, Very supportive & encouraging leader","Long term vision & clarity"
"4.0","30 Sept 2019","Cluster Blender North","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW29529986.htm","Anonymous employee","Former employee","","","","","Work together  and win together","performance aprisal  method not satisfactory"
"1.0","7 Sept 2015","No proper Respect For Out Sources People","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW7870337.htm","Anonymous employee","Current employee, less than 1 year","Bengaluru","good place to learn things, big company in the industry, freshers can learn","Senior Manger was Arguing And Shouting in front of all other's Employees...
Please don't work as Out Source Employee","Show more","",""
"5.0","8 Jul 2021","United Spirits","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW49491194.htm","Anonymous employee","Current employee, less than 1 year","","","","","Best culture to work in","Hasn't find any cons till now"
"4.0","4 Sept 2021","outstanding","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW52102843.htm","Senior finance manager","Current employee","Bengaluru","","","","good employer and good platform to learn more","market uncertainity , good prospect"
"5.0","20 Sept 2012","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW1973091.htm","Tse","Current employee","Bardhaman","","","","good work culture, management, benefits","non non non non non"
"3.0","11 Feb 2013","Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW2361754.htm","Anonymous employee","Former employee","","","","","Good place to work and learn","Too rigid, conservative at times in approach"
"3.0","26 Sept 2016","Summer intern","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW12071327.htm","Summer intern","Former employee","New Delhi","Relax working environment.
Good culture
beautiful office","Work ethics needs to be looked after","Show more","",""
"4.0","25 Mar 2017","Institutional business","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW14347752.htm","Key account manager","Current employee, more than 1 year","Mumbai","","","","MNC culture, employee engagement, market share","Frequent restructuring, slow career growth,"
"5.0","29 Jun 2018","Asstt.Manager Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW21275828.htm","Anonymous employee","Current employee, less than 1 year","Bengaluru","","","","Fair Environment Transparency Social activity","Career Growth Management Retention Mobility"
"3.0","10 Sept 2018","USL Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW22396446.htm","Anonymous employee","Current employee","","","","","Work Environment, Perks and office infrastructure","Long Work hours, difficult goal setup"
"4.0","5 Sept 2013","Looks Promising Ahead","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW3018381.htm","Anonymous employee","Current employee, less than 1 year","Hyderābād","","","","Exposes to the best practices in FMCG","Too soon to judge right now"
"4.0","7 Mar 2016","Sale","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW9826961.htm","Anonymous employee","Current employee, more than 5 years","Ludhiana","","","","Growth, good salary,skill development","Best leadership, quality product"
"1.0","11 Jul 2018","Confidential secretary","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW21441360.htm","Anonymous employee","Former employee, more than 3 years","Bengaluru","As Employee there is not much to say about company","No Employee Friendly environment. No career path","Show more","",""
"1.0","18 Jul 2014","senior was not cooperative  .","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW4604818.htm","Terriotry sales representative","Former employee, more than 1 year","Lucknow","office culture is very bad.","A good compensation is always a challenge in company .","Show more","",""
"1.0","9 Oct 2014","Not That amazing","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW5129962.htm","Anonymous employee","Current employee, more than 3 years","","","","","Not much work most of the year","Politics, Tough to move out, Limited Working"
"1.0","1 Jul 2019","Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW27722405.htm","Account manager","Former employee, more than 1 year","Bengaluru","","","","Lot of opportunities to learn and grow","Poor HR Leadership and lacks transparency. High Bias"
"5.0","13 Mar 2024","Healthy company","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW85306773.htm","Sales associate","Former employee","Denver, CO","","","","Great work environment and healthy.","Lack of communication amongst team"
"2.0","15 Feb 2024","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW84416144.htm","Secretary","Former employee","Flower Mound, TX","","","","nice people around and kind","nothing really it was fine"
"4.0","8 Jan 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW83173155.htm","Human resources generalist","Current intern, more than 5 years","Sisseton, SD","Manhood good vibe but sketchy owner","Share some cons very cool bad","Show more","",""
"5.0","12 Jul 2023","Loved it","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW78201550.htm","Anonymous employee","Former employee","Jacksonville, FL","","","","To work at the airport is dangerous but rewarding","Unprofessional and unorganized work environment"
"3.0","31 Aug 2022","N/A","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW68556554.htm","Anonymous freelancer","Current freelancer, less than 1 year","","good environment to work with","very busy and very toxic","Show more","",""
"3.0","25 Jun 2012","Not so bad.. Not good either...","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW1646765.htm","Anonymous employee","Current employee, more than 3 years","","Stability, regular hikes, work environment, knowledge base of colleagues","Retaining retired people, denying chances to young talent, very miserly hike to lower ranks, top managements eats too much and shares too little money with remaining people, very slow in taking decisions, too many decision n policy makers... !!!","Show more","",""
"3.0","6 Jul 2012","Employee Satisfaction","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW1696335.htm","Key accounts","Current employee, more than 3 years","","1. Authority to take bold decisions.
2. Open to see Glamour world.
3. Learnt Basics of hardcore Sales","1. No develpoment.
2. No growth opportunity.
3. Politics
4. Stagnant Work","Show more","",""
"4.0","19 Jun 2012","One Of The Best Company Of India","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW1620470.htm","Anonymous employee","Current employee","","","","","job security,Good Pay Master,Transparency and many thing more.","Low Growth Rate otherwise no reason to switch."
"5.0","13 Jul 2012","accounts and administration","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW1725103.htm","Anonymous employee","Current employee","","","","","is a multinational company good paymaster my efficiency review every year","is a liquor company having control at banglore"
"4.0","14 Sept 2017","Excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW16824925.htm","Anonymous employee","Former employee","","Excellent place to work
Salary
Flexible time
Manager- Employee relationship","No cons for Diageo- India","Show more","",""
"3.0","31 Jan 2015","it is awesome","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW5822517.htm","Customer service representative","Current employee","","Theres chances for promotion and room for growth","they can let you go at any time","Show more","",""
"4.0","8 Sept 2017","Senior Business Analyst","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW16736421.htm","Anonymous employee","Former employee","","","","","Good Pay, Flexible work hours","Weekend Work if Required, busy at month end"
"5.0","29 Oct 2020","Wonderful","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW37762313.htm","Customer support specialist","Former employee","","","","","Great Culture, Great Perk, Loved the office","I can't think of any cons"
"3.0","27 May 2021","Not what I expect","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW47569250.htm","Paralegal","Current employee","Walnut Creek, CA","","","","Employees working there are nice","Location and inconvenience to travel"
"2.0","2 Jun 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW47820196.htm","R&d associate","Current employee","Ronkonkoma, NY","","","","good company friendly environment for everyone","no cons at this job"
"1.0","16 Oct 2012","Bad","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW2054623.htm","Manager","Current employee, less than 1 year","","Good for someone who wants to make out career in Sales.","Bad working culture, too much politics, no career growth opportunity.","Show more","",""
